handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	nuzzle	nuzzle.entry-gate	D1	command	unit-green	TestNuzzleRegistrationUsesCEntryGateAndRecord	interpreter.c:584; act.social.c:102-112; lib/misc/socials:540-548	The registered C row is POS_RESTING with no command minimum; the social record preserves hide 1, victim-position minimum 5, and all eight authored messages (R1/R2/R5e).
do_action	nuzzle	nuzzle.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:584; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	nuzzle	nuzzle.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	nuzzle	nuzzle.no-argument	D2	command	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:540-548	No argument emits the exact Nuzzle who?? actor prompt and the authored # room branch (R1/R3/R5e).
do_action	nuzzle	nuzzle.target-success	D3	audience	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:540-548	A visible player at or above POS_RESTING receives the exact actor, observer, and victim nuzzle messages (R1/R3/R5e).
do_action	nuzzle	nuzzle.target-audience	D3	audience	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:540-548	The actor, target, and observer transcripts pin C's three target-success audiences, hide-invisible behavior, and substitutions (R1/R3/R5e).
do_action	nuzzle	nuzzle.argument-first-token	D2	command	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:540-548	C one_argument selects the first target token and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	nuzzle	nuzzle.mob-target	D3	audience	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	nuzzle	nuzzle.self-target	D2	audience	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:540-548	The named self target emits C's authored impossible self-target actor line and the # room branch (R1/R3/R5e).
do_action	nuzzle	nuzzle.target-not-found	D1	command	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:540-548	A missing visible-room target emits the exact authored No.. they aren't here.. direct-send refusal and no room act (R1/R3/R5e).
do_action	nuzzle	nuzzle.sleeping-target	D2	command	oracle-green-multiseed	nuzzle-depth@1,2,3,5,8	act.social.c:140-144; lib/misc/socials:540-548	The POS_RESTING victim-position minimum rejects a sleeping visible target with the exact proper-position actor message (R1/R3/R5e).
