handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	shishkabob	shishkabob.entry-gate	D1	command	unit-green	TestShishkabobRegistrationUsesCEntryGate	interpreter.c:689;act.social.c:102-151;lib/misc/socials:675-685	The registered C row is POS_RESTING with no command minimum; the focused test pins the zero-hide, POS_RESTING-victim social metadata and all authored messages (R1/R2/R5e).
do_action	shishkabob	shishkabob.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:689;comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle (R5b/R5c).
do_action	shishkabob	shishkabob.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the existing do_action social gate vehicle (R5b/R5c).
do_action	shishkabob	shishkabob.no-argument	D2	audience	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	act.social.c:119-127;lib/misc/socials:675-685	No argument emits the exact shishkabob actor and ordinary room lines across the deterministic seed matrix (R1/R3/R5e).
do_action	shishkabob	shishkabob.target-success	D3	audience	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	act.social.c:145-151;lib/misc/socials:675-685	A visible resting target receives the exact actor and victim messages, and the distinct observer receives the TO_NOTVICT room line (R1/R3/R5e).
do_action	shishkabob	shishkabob.target-audience	D3	audience	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	act.social.c:145-151;comm.c:2392-2555;lib/misc/socials:675-685	The observer receives the room line while actor and victim are excluded by TO_NOTVICT; the victim receives the dedicated line (R1/R3/R5e).
do_action	shishkabob	shishkabob.argument-first-token	D2	command	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	interpreter.c:1265-1283;act.social.c:114-121;lib/misc/socials:675-685	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	shishkabob	shishkabob.self-target	D2	audience	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	act.social.c:134-140;lib/misc/socials:675-685	A self target uses the authored actor and room self lines (R1/R3/R5e).
do_action	shishkabob	shishkabob.target-not-found	D1	command	oracle-green-multiseed	shishkabob-depth@1,2,3,5,8	act.social.c:128-132;lib/misc/socials:675-685	A missing visible-room target receives the exact Sorry good chef refusal and no target audience act (R1/R3/R5e).
do_action	shishkabob	shishkabob.sleeping-target	D3	audience	oracle-green-multiseed	shishkabob-sleeping-depth@1,2,3,5,8	act.social.c:140-151;comm.c:2392-2555;lib/misc/socials:675-685	The POS_RESTING victim minimum rejects a sleeping target before any success audience act (R1/R3/R5e).
do_action	shishkabob	shishkabob.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151;comm.c:2392-2555	Target lookup and ordinary actor/room/victim visibility behavior are owned by the social matrix (R1/R5b/R5c).
