handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	grovel	grovel.entry-gate	D1	command	unit-green	TestGrovelRegistrationUsesCEntryGate	interpreter.c:480; act.social.c:102-117	The registered C row is POS_RESTING with minimum level 0; focused proof pins the record's hide flag 1, zero victim-position minimum, and all eight authored messages.
do_action	grovel	grovel.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:480; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle.
do_action	grovel	grovel.no-argument	D2	command	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:355-363	No argument emits the exact actor and room dirt-grovel lines.
do_action	grovel	grovel.target-success	D3	audience	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:132-147; lib/misc/socials:355-363	A visible awake target reaches the authored actor, TO_NOTVICT room, and victim messages.
do_action	grovel	grovel.target-audience	D3	audience	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:145-147; comm.c:2392-2555	The awake peer receives the exact room audience line while the actor and target are excluded by TO_NOTVICT.
do_action	grovel	grovel.one-argument	D2	command	oracle-green-multiseed	grovel-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:121-132	C one_argument skips leading fill words and ignores trailing words before visible target lookup.
do_action	grovel	grovel.self-target	D2	audience	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:135-139; lib/misc/socials:355-363	A self target reaches the authored silly actor line and the record's # room suppression.
do_action	grovel	grovel.target-not-found	D1	command	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:132-134; lib/misc/socials:355-363	A missing visible-room target receives the exact Who? line.
do_action	grovel	grovel.sleeping-target	D3	audience	oracle-green-multiseed	grovel-depth@1,2,3,5,8	act.social.c:140-147; lib/misc/socials:355-363	The authored minimum victim position is zero, so a sleeping target passes the social gate and receives the normal victim line.
do_action	grovel	grovel.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-117	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix.
do_action	grovel	grovel.visibility	D3	shared	delegated	socials-depth	act.social.c:132-147; comm.c:2392-2555	Target lookup and the hide=1 actor/victim/room audiences use the shared visibility and Act behavior.
