handler	command	case_id	depth	scope	status	proof	c_site	notes
do_gen_comm	newbie	newbie.entry-gate	D1	command	unit-green	TestNewbieRegistrationUsesCEntryGate	interpreter.c:566; act.comm.c:1146-1305	The C row permits every level at POS_SLEEPING; the focused test pins both the authoritative gate and the registered Go entry (R1/R2/R5e).
do_gen_comm	newbie	newbie.low-level-allowed	D1	command	oracle-green-multiseed	newbie-channel-depth@1,2,3,5,8	interpreter.c:566; act.comm.c:1215-1218	SCMD_NEWBIE explicitly bypasses level_can_shout, so an ordinary level-one actor reaches the channel (R1/R2/R3/R5e).
do_gen_comm	newbie	newbie.normal-audience	D3	audience	oracle-green-multiseed	newbie-channel-depth@1,2,3,5,8	act.comm.c:1236-1300	The actor echo and global recipient fanout preserve C's newbie wording and recipient sleep handling (R1/R3/R5e).
do_gen_comm	newbie	newbie.no-argument	D1	command	oracle-green-multiseed	newbie-channel-depth@1,2,3,5,8	act.comm.c:1230-1234	After leading-space skip, an empty message reaches the exact generic channel prompt (R1/R3/R5e).
do_gen_comm	newbie	newbie.recipient-nonewbie	D3	audience	oracle-green-multiseed	newbie-channel-depth@1,2,3,5,8	act.comm.c:1248-1252	A recipient with PRF_NONEWBIE receives no bytes while the actor still receives the self echo (R1/R3/R4/R5e).
do_gen_comm	newbie	newbie.sender-nonewbie	D2	command	oracle-green-multiseed	newbie-channel-depth@1,2,3,5,8	act.comm.c:1200-1203; act.other.c:1208-1273	The sender's PLR_NOSHOUT and PRF_NONEWBIE gates remain distinct and preserve their exact actor-only refusals (R1/R3/R5e).
do_gen_comm	newbie	newbie.soundproof	D2	command	delegated	channels.soundproof	act.comm.c:1204-1207	ROOM_SOUNDPROOF is the shared generic-channel sender gate proven by the channel family matrix (R5b/R5c).
do_gen_comm	newbie	newbie.stupid	D2	command	delegated	say.stupid-gate	act.comm.c:1220-1227	The shared GET_WIS/GET_INT zero communication gate is proven by the say channel's exact C-first vehicle (R5b/R5c).
do_gen_comm	newbie	newbie.recipient-writing	D3	audience	unit-green	TestDoNewbieChannelDepthGatesAndFanout	act.comm.c:1248-1252	A recipient in PLR_WRITING is excluded before the TO_VICT|TO_SLEEP delivery; the focused channel matrix pins absence of bytes (R1/R3/R4/R5e).
do_gen_comm	newbie	newbie.shared-channel-seam	D5	shared	delegated	channels.recipient-gates	act.comm.c:1240-1300	Common channel eligibility, ANSI deletion, self echo, recipient filtering, and no-repeat state belong to the verified do_gen_comm seam (R5b/R5c).
