handler	command	case_id	depth	scope	status	proof	c_site	notes
do_qcomm	qsay	qsay.entry-gate	D1	command	unit-green	TestQsayRegistrationUsesCEntryGate	interpreter.c:631; comm.c:910-947; act.comm.c:1301-1305	The registered C row is POS_SLEEPING with no level minimum; the focused test pins this command-surface gate (R2/R5e).
do_qcomm	qsay	qsay.position-gate	D1	command	delegated	group.position-gate	interpreter.c:631; comm.c:910-947	The shared POS_SLEEPING dispatcher rejection is already proven by the group gate boundary (R5b/R5c).
do_qcomm	qsay	qsay.quest-gate	D1	command	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1306-1310	A caller without PRF_QUEST is rejected before argument parsing with C's exact quest-participation message (R1/R2/R5e).
do_qcomm	qsay	qsay.noshout-gate	D1	command	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1311-1314	PLR_NOSHOUT blocks the quest channel with C's shared You cannot quest-say! response (R1/R2/R5e).
do_qcomm	qsay	qsay.empty	D1	command	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1316-1323	An empty argument reaches CMD_NAME capitalization and C's exact Qsay? chide (R1/R3/R5e).
do_qcomm	qsay	qsay.broadcast	D3	audience	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1325-1359	A non-empty qsay reaches the actor and every other questing descriptor with C's colored quest-say templates, while the non-questing peer receives nothing (R1/R3/R5e).
do_qcomm	qsay	qsay.spacing	D2	command	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1325-1339; interpreter.c:1265-1283	C consumes the post-command remainder and preserves internal spacing; the Go transport raw-argument path now does the same (R1/R2/R5e).
do_qcomm	qsay	qsay.ansi-controls	D2	command	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1325-1339	delete_ansi_controls removes argument color markers while retaining the qsay template's &W/&n markers (R1/R4/R5e).
do_qcomm	qsay	qsay.norepeat	D3	audience	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1325-1359	PRF_NOREPEAT changes only the actor's self copy to Okay.; questing recipients still receive the colored message (R1/R3/R5e).
do_qcomm	qsay	qsay.sleeping-recipient	D3	audience	oracle-green-multiseed	qsay-depth@1,2,3,5,8	act.comm.c:1342-1359	The TO_VICT|TO_SLEEP recipient path delivers qsay to a sleeping quest participant (R1/R3/R5e).
do_qcomm	qsay	qsay.writing-recipient	D3	audience	unit-green	TestQsayBroadcastSkipsWritingQuestPlayer	act.comm.c:1342-1345	A questing descriptor flagged PLR_WRITING is excluded from the qsay recipient loop, while a normal questing peer remains eligible (R1/R5e).
