handler	command	case_id	depth	scope	status	proof	c_site	notes
do_dragon_kick	dragon	dragon.no-skill	D1	command	oracle-green	combat-transform-reject	interpreter.c:422; act.offensive.c:642-645	GET_SKILL is checked before one_argument and target lookup, returning the exact idiot-san refusal for an unknown caller.
do_dragon_kick	dragon	dragon.no-argument	D1	command	oracle-green-multiseed	dragon-depth@1,2,3,5,8	act.offensive.c:648-655	An awake skilled caller with no argument and no FIGHTING target receives the exact Kick who? refusal.
do_dragon_kick	dragon	dragon.target-missing	D1	command	oracle-green-multiseed	dragon-depth@1,2,3,5,8	act.offensive.c:651-655	A missing room target with no FIGHTING fallback receives Kick who? with no invented command spelling.
do_dragon_kick	dragon	dragon.self	D2	command	oracle-green-multiseed	dragon-depth@1,2,3,5,8	act.offensive.c:656-660	The named self target is resolved after C one_argument and emits the exact self-target refusal.
do_dragon_kick	dragon	dragon.one-argument	D1	command	oracle-green-multiseed	dragon-depth@1,2,3,5,8	interpreter.c:1265-1279; act.offensive.c:648-655	one_argument skips the fill word, lowercases the first target token, and ignores trailing words; the vehicle proves the fill-word self target.
do_dragon_kick	dragon	dragon.mounted	D2	state	unit-green	TestDoDragonKick_BlocksMounted	act.offensive.c:664-668	Mounted callers are refused before movement spending and the skill roll with Dismount first!.
do_dragon_kick	dragon	dragon.no-move	D2	state	unit-green	TestDoDragonKick_BlocksInsufficientMove	act.offensive.c:670-677	Fewer than ten move points returns You're too exhausted! and preserves the move pool.
do_dragon_kick	dragon	dragon.wait	D4	state	unit-green	TestDoDragonKick_WaitStateAlwaysThree	act.offensive.c:689	Both hit and miss arms apply WAIT_STATE(ch, PULSE_VIOLENCE+2), modeled as three violence pulses.
do_dragon_kick	dragon	dragon.failure	D5	state	oracle-green-multiseed	dragon-depth@1,2,3,5,8	act.offensive.c:679-684; fight.c:1023-1092; lib/misc/messages:1267-1281	The forced skill-1 arm proves set-188 miss bytes, zero-damage combat enrollment, and the unconditional three-pulse wait.
do_dragon_kick	dragon	dragon.success	D5	state	oracle-green-multiseed	dragon-success-depth@1,2,3,5,8	act.offensive.c:679-689; fight.c:1023-1092; lib/misc/messages:1267-1281	The legal arm proves set-188 hit bytes, damage routing, combat enrollment, improvement ordering, and the unconditional three-pulse wait.
do_dragon_kick	dragon	dragon.damage-formula	D4	state	unit-green	TestDoDragonKick_WaitStateAlwaysThree	act.offensive.c:686; src/spells.h:236	Successful damage is the C integer conversion of GET_LEVEL(ch)*1.5, with level 20 producing 30.
do_dragon_kick	dragon	dragon.skill-message-contract	D4	state	unit-green	TestDoDragonKick_WaitStateAlwaysThree	fight.c:1023-1092; lib/misc/messages:1267-1281	Both damage arms carry the C numbered skill-message set and no invented literal combat strings.
do_dragon_kick	dragon	dragon.draw-order	D5	state	unit-green	TestDoDragonKick_MissDrawOrder	act.offensive.c:679-689; fight.c:1023-1092; lib/misc/messages:1267-1281	The shared stream is the dragon percent number followed by set-188 skill-message dice; the post-message improvement is deferred to the caller.
damage	dragon	dragon.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1314-1718	Peaceful/newbie/shopkeeper/follower/death behavior belongs to the verified shared combat-entry matrix; dragon selects the confirmed damage skill and formula here.
