handler	command	case_id	depth	scope	status	proof	c_site	notes
do_insult	insult	insult.entry-gate	D1	command	unit-green	TestInsultRegistrationUsesCEntryGate	interpreter.c:518; act.social.c:153-201	The C row permits every level at POS_RESTING; the focused test pins both the authoritative gate and the registered Go entry (R2/R5e).
do_insult	insult	insult.no-argument	D2	command	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:155-156	An empty first argument takes the exact everybody refusal branch across the deterministic seed matrix (R1/R3/R5e).
do_insult	insult	insult.target-not-found	D1	command	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:157-159	A supplied but unresolved first token emits only C's exact Can't hear you! actor line and consumes no insult draw (R1/R3/R5e).
do_insult	insult	insult.self-target	D2	command	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:159-198	A visible self target takes the early self branch and emits only the exact actor insulted line (R1/R3/R5e).
do_insult	insult	insult.first-token	D1	command	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:155-159; interpreter.c:1265-1283	one_argument consumes the first target token and ignores trailing words; the targeted command reaches the same target path and exact actor confirmation (R1/R2/R5e).
do_insult	insult	insult.target-audiences	D3	audience	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:161-198; comm.c:2392-2555	A live target receives the selected insult, the actor receives confirmation, and a third co-located peer receives only the TO_NOTVICT room line (R1/R3/R5e).
do_insult	insult	insult.female-target-case-zero	D3	audience	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:168-177	With a male actor and female target, number(0,2)==0 emits the exact women-cannot-fight victim message (R1/R3/R5e).
do_insult	insult	insult.male-target-case-zero	D3	audience	oracle-green-multiseed	insult-male-depth@1,2,3,5,8	act.social.c:168-176	With a male actor and male target, number(0,2)==0 emits the exact fighting-like-a-woman victim message (R1/R3/R5e).
do_insult	insult	insult.female-actor-male-target-case-zero	D3	audience	oracle-green-multiseed	insult-sex-depth@1,2,3,5,8	act.social.c:168-179	With a female actor and male target, number(0,2)==0 emits the exact smallest-brain victim message, pinning the C/Go SexMale boundary (R1/R3/R5e).
do_insult	insult	insult.female-actor-female-target-case-zero	D3	audience	oracle-green-multiseed	insult-sex-female-depth@1,2,3,5,8	act.social.c:168-179	With a female actor and female target, number(0,2)==0 emits the exact beauty-contest victim message (R1/R3/R5e).
do_insult	insult	insult.mother-branch	D3	audience	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:180-183	The number(0,2)==1 branch emits the exact mother insult to the victim and retains the actor/TO_NOTVICT audience split (R1/R3/R5e).
do_insult	insult	insult.lost-branch	D3	audience	oracle-green-multiseed	insult-depth@1,2,3,5,8	act.social.c:184-186	The default number(0,2) branch emits the exact get-lost insult to the victim and retains the actor/TO_NOTVICT audience split (R1/R3/R5e).
