handler	command	case_id	depth	scope	status	proof	c_site	notes
do_serpent_kick	serpent	serpent.entry-gate	D1	command	unit-green	TestSerpentRegistrationUsesCEntryGate	interpreter.c:685;comm.c:910-947	The registered command is POS_FIGHTING with minimum level 1, and the registry preserves that C entry gate (R1/R2/R5e).
do_serpent_kick	serpent	serpent.no-skill	D1	command	oracle-green	serpent-gate-depth@1	new_cmds2.c:693-700	The skill refusal runs before one_argument and target lookup with exact C bytes (R1/R2/R5e).
do_serpent_kick	serpent	serpent.no-argument-no-fighting	D1	command	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:703-713	An empty argument with no fighting target reaches Kick who? rather than an invented not-here line (R1/R2/R5e).
do_serpent_kick	serpent	serpent.missing-target	D1	command	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:703-713	An unresolved explicit target falls through the same C fighting-target fallback and otherwise emits Kick who? (R1/R2/R5e).
do_serpent_kick	serpent	serpent.target-trailing-arguments	D2	command	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:703-713	one_argument consumes only the first token, so trailing words do not change the visible target or draw path (R1/R2/R3/R5e).
do_serpent_kick	serpent	serpent.hit-or-miss-skill-message	D3	command	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:714-728;fight.c:1023-1092;lib/misc/messages:156	Both damage outcomes use the registered set-156 C skill messages instead of invented Go literals (R1/R3/R4/R5e).
do_serpent_kick	serpent	serpent.room-audience	D3	audience	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:714-728;fight.c:1023-1092	The set-156 room action reaches the observer with the same actor/victim exclusions and bytes (R1/R3/R5e).
do_serpent_kick	serpent	serpent.no-argument-fighting-fallback	D2	command	oracle-green-multiseed	serpent-depth@1,2,3,5,8	new_cmds2.c:703-713	After combat is established, a no-argument command resolves FIGHTING(ch) as C does (R1/R2/R5e).
do_serpent_kick	serpent	serpent.self-target	D1	command	unit-green	TestDoSerpentKickGateOrder	new_cmds2.c:706-718	Self-target rejection precedes the mounted gate and preserves Aren't we funny today... (R1/R5e).
do_serpent_kick	serpent	serpent.mounted-gate	D1	command	unit-green	TestDoSerpentKickGateOrder	new_cmds2.c:714-718	The mounted refusal runs after self-target rejection and before the percent draw (R1/R3/R5e).
do_serpent_kick	serpent	serpent.sleeping-auto-hit	D2	state	unit-green	TestDoSerpentKickSleepingTargetAutoHits	new_cmds2.c:719-728	A victim at or below POS_SLEEPING receives C's prob=110 override and the level*1.5 damage (R1/R3/R5e).
do_serpent_kick	serpent	serpent.hit-result-contract	D4	state	unit-green	TestDoSerpentKickResultContract	new_cmds2.c:719-743	The hit result carries set 156, damage skill, combat enrollment, two-pulse wait, post-damage improvement, and create_mobile metadata (R1/R3/R5e).
do_serpent_kick	serpent	serpent.miss-result-contract	D4	state	unit-green	TestDoSerpentKickMissUsesCMessageContract	new_cmds2.c:719-728	The miss still calls C damage with zero, selecting set 156 and enrolling combat without carrying invented literal messages (R1/R3/R4/R5e).
do_serpent_kick	serpent	serpent.training-mobile	D5	state	unit-green	TestCmdSerpentKickTrainingMobileMatchesC	new_cmds2.c:734-740;588-618	The post-damage 1-in-81 branch consumes read_mobile draws, applies create_mobile's instance stats, stays quiet, loads room 18201, hunts the attacker, sets XP zero, then leaves improve_skill in C order (R1/R3/R5e).
do_serpent_kick	serpent	serpent.created-mobile-stats	D5	state	unit-green	TestConfigureCreatedMobileMatchesC	new_cmds2.c:588-618	The shared typed mob runtime preserves create_mobile's level-derived AC, hitroll, damroll, damage dice, max/current HP, and zero XP without mutating the prototype (R3/R4/R5e).
do_serpent_kick	serpent	serpent.shared-damage-gates	D5	shared	delegated	combat.damage-entry	new_cmds2.c:728;fight.c:1314-1718	Skill damage and common death/combat gates remain owned by the shared damage proof; this slice only supplies the command-specific set and metadata (R5b/R5c).
