# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# Go player-facing segments with no C source and no world-data source (R4 review queue).
# columns: segment	file:line	sink
hits you for	pkg/combat/engine.go:971	.SendMessage
You are incapacitated and will slowly die, if not aided.	pkg/combat/fight_core.go:180	.SendMessage
You are incapacitated and will slowly die, if not aided.	pkg/combat/fight_core.go:494	.SendMessage
has arrived.	pkg/game/ai.go:172	.SendMessage
Your light source flickers and sputters.	pkg/game/char_mgmt.go:59	.SendMessage
Your light source has gone out.	pkg/game/char_mgmt.go:61	.SendMessage
You are Rank	pkg/game/clan_info.go:33	.SendMessage
You've been demoted within your clan!	pkg/game/clan_membership.go:253	.SendMessage
Unknown channel.	pkg/game/comm_channel.go:97	communicationSend
You think: '	pkg/game/comm_channel.go:223	sendToChar
hits you, but it doesn't hurt!	pkg/game/damage_stubs.go:256	.SendMessage
You autoloot:	pkg/game/death.go:453	.SendMessage
You autoloot the corpse but find nothing of value.	pkg/game/death.go:455	.SendMessage
is disintegrated! Equipment lies scattered on the ground.	pkg/game/death.go:1194	.SendMessage
is ignoring you.	pkg/game/directed_speech.go:249	communicationSend
is ignoring you.	pkg/game/directed_speech.go:307	communicationSend
auctions, '	pkg/game/graph.go:267	.SendMessage(via text)
You open the door.	pkg/game/graph.go:316	.SendMessage
has arrived.	pkg/game/graph.go:343	.SendMessage
Player lookup not available.	pkg/game/house_player.go:61	.SendMessage
Player lookup not available.	pkg/game/house_player.go:148	.SendMessage
Invalid house vnum.	pkg/game/house_rent.go:13	sendToChar
Error reading house file.	pkg/game/house_rent.go:23	sendToChar
Objects stored for house #	pkg/game/house_rent.go:46	sendToChar
Error reading house file.	pkg/game/house_rent.go:49	sendToChar
Something went wrong. Your item was not donated.	pkg/game/item_donate.go:38	.SendMessage
Something went wrong. Your gold was not donated.	pkg/game/item_donate.go:79	.SendMessage
Your jail sentence is served. You are free!	pkg/game/limits_condition.go:133	.SendMessage
Mail sent.	pkg/game/mail.go:592	.SendMessage
Mail aborted (empty message).	pkg/game/mail.go:594	.SendMessage
attacks you for	pkg/game/mob.go:364	.SendMessage
Your note was lost. (internal error)	pkg/game/note_write.go:58	sendToChar
Note recorded.	pkg/game/note_write.go:67	sendToChar
Note limit reached. Type '@' on a new line to save.	pkg/game/note_write.go:86	sendToChar
Your tattoo fizzles...	pkg/game/other_economy.go:140	.SendMessage
Could not save your data. Contact an admin!	pkg/game/other_session.go:15	.SendMessage
Unknown toggle.	pkg/game/other_settings.go:249	.SendMessage
Unknown toggle.	pkg/game/other_settings.go:279	.SendMessage
Starved and needing food to make more pillows, the couch attacks you!	pkg/game/spec_procs2.go:296	sendToChar
You trade your key for	pkg/game/spec_procs2.go:1416	sendToChar
says 'You're an evil one! That won't be allowed here!'	pkg/game/spec_procs2.go:1483	sendToChar
The boy smiles and hands you a small note.	pkg/game/spec_procs2.go:1504	sendToChar
The little boy runs off!	pkg/game/spec_procs2.go:1512	sendToChar
says 'I don't like you, and you'd better leave before I make you!'	pkg/game/spec_procs2.go:1546	sendToChar
A shimmering portal appears and sucks you in!	pkg/game/spec_procs2.go:1779	sendToChar
You tumble out into a strange place...	pkg/game/spec_procs2.go:1789	sendToChar
The bats swarm around you, blocking your escape!	pkg/game/spec_procs2.go:1913	sendToChar
A bat swoops down and attacks you!	pkg/game/spec_procs2.go:1935	sendToChar
Something went wrong.	pkg/game/spec_procs4.go:246	sendToChar
That is not a wand or staff.	pkg/game/spec_procs_missing.go:83	.SendMessage
That item is already fully charged.	pkg/game/spec_procs_missing.go:92	.SendMessage
gold to recharge that, which you cannot afford.	pkg/game/spec_procs_missing.go:104	.SendMessage
The recharger works their magic on	pkg/game/spec_procs_missing.go:120	.SendMessage
You feel your magic dissipate in the beholder's presence!	pkg/game/spec_procs_missing.go:128	.SendMessage
arrives through a shimmering moon gate!	pkg/game/spec_procs_missing.go:198	.actToRoom
[ FULL MOON RISES ] The full moon casts an eerie glow across the land.	pkg/game/weather.go:570	.SendToAll
[ NIGHT GATE ] A shimmering gate materializes in the darkness...	pkg/game/weather.go:596	.SendToAll
[ NIGHT GATE ] The shimmering gate fades into nothingness.	pkg/game/weather.go:609	.SendToAll
[ GHOST SHIP ] An eerie fog rolls in from the harbor... the ghost ship has been sighted!	pkg/game/weather.go:622	.SendToAll
You see nothing but void.	pkg/game/world.go:1292	.SendMessage
What is your question?	pkg/session/act_comm.go:42	.Send
Your color is now	pkg/session/act_informative.go:40	.Send
Error saving aliases.	pkg/session/act_social.go:61	.Send
Error saving aliases.	pkg/session/act_social.go:104	.Send
You are not affected by any spells.	pkg/session/affects_informative.go:16	.Send
Auto-loot enabled.	pkg/session/autoloot.go:25	.Send
Auto-loot disabled.	pkg/session/autoloot.go:27	.Send
Usage: password <old> <new>	pkg/session/cmd_account.go:19	.Send
That's the same as your old password!	pkg/session/cmd_account.go:27	.Send
Password is too long (max 72 characters).	pkg/session/cmd_account.go:37	.Send
An error occurred. Please try again later.	pkg/session/cmd_account.go:45	.Send
Player record not found.	pkg/session/cmd_account.go:49	.Send
Old password is incorrect.	pkg/session/cmd_account.go:56	.Send
An error occurred. Please try again later.	pkg/session/cmd_account.go:65	.Send
Failed to save new password. Please try again later.	pkg/session/cmd_account.go:72	.Send
Password changed successfully.	pkg/session/cmd_account.go:76	.Send
You start following	pkg/session/cmd_group.go:79	.SendMessage
Your group leader is not online.	pkg/session/cmd_group.go:197	.SendMessage
Your message was blocked.	pkg/session/cmd_group.go:315	.sendText
Summon who?	pkg/session/cmd_info.go:1048	.sendText
You are summoned by	pkg/session/cmd_info.go:1062	.sendText
No one by that name online.	pkg/session/cmd_info.go:1067	.sendText
Error looking up player.	pkg/session/cmd_info.go:1200	.sendText
Your message was blocked.	pkg/session/comm_cmds.go:42	.sendText
Your message was blocked.	pkg/session/comm_cmds.go:57	.sendText
Your message was blocked.	pkg/session/comm_cmds.go:79	.sendText
Your message was blocked.	pkg/session/comm_cmds.go:120	.sendText
Your message was blocked.	pkg/session/comm_cmds.go:155	.sendText
You write '	pkg/session/comm_cmds.go:256	.Send
Your message was blocked.	pkg/session/comm_cmds.go:364	.sendText
You are not ignoring anyone.	pkg/session/comm_cmds.go:390	.Send
You are ignoring:	pkg/session/comm_cmds.go:393	.Send
is no longer ignored.	pkg/session/comm_cmds.go:408	.Send
is now ignored.	pkg/session/comm_cmds.go:411	.Send
Guest accounts are restricted from using this command.	pkg/session/commands.go:697	.sendText
Knock on what? Try north, south, east, west, up, or down.	pkg/session/door_cmds.go:43	.Send
That information is not available right now.	pkg/session/gen_ps_cmds.go:132	.Send
Built with:	pkg/session/gen_ps_cmds.go:245	.Send
!! The MUD server is performing a graceful shutdown for maintenance. Your state has been saved. !!	pkg/session/manager.go:1942	.sendText
Description not changed.	pkg/session/menu.go:185	.sendText
Unable to save description.	pkg/session/menu.go:198	.sendText
Description saved.	pkg/session/menu.go:205	.sendText
Description is too long; type @ or /s to save, /a to abort.	pkg/session/menu.go:212	.sendText
You're not fighting anyone!	pkg/session/movement_cmds.go:50	.Send
There's nowhere to flee!	pkg/session/movement_cmds.go:68	.Send
experience points for fleeing.	pkg/session/movement_cmds.go:122	.Send
You attempt to move silently.	pkg/session/movement_cmds.go:171	.Send
gold pieces.	pkg/session/shop_cmds.go:365	.Send
gold pieces.	pkg/session/shop_cmds.go:367	.Send
Sell what?	pkg/session/shop_cmds.go:387	.Send
The shopkeeper doesn't want that.	pkg/session/shop_cmds.go:407	.Send
gold pieces.	pkg/session/shop_cmds.go:417	.Send
The shopkeeper doesn't want anything you have.	pkg/session/shop_cmds.go:453	.Send
gold pieces.	pkg/session/shop_cmds.go:458	.Send
gold pieces.	pkg/session/shop_cmds.go:460	.Send
Your tattoo flickers but nothing happens.	pkg/session/tattoo.go:79	.Send
Nothing magical happens.	pkg/session/use_cmds.go:53	.Send
Zap who?	pkg/session/use_cmds.go:133	.Send
You aren't holding that.	pkg/session/use_cmds.go:154	.Send
Usage: checkload { obj | mob } <number>	pkg/session/wiz_info.go:386	.Send
Usage: poofset <in|out> [message]	pkg/session/wiz_info.go:580	.Send
Usage: poofset <in|out> [message]	pkg/session/wiz_info.go:585	.Send
Heal whom?	pkg/session/wiz_player.go:20	.Send
No one by that name online.	pkg/session/wiz_player.go:26	.Send
You heal	pkg/session/wiz_player.go:31	.Send
has healed you!	pkg/session/wiz_player.go:32	.Send
Vis whom?	pkg/session/wiz_player.go:234	.Send
is now visible to mortals.	pkg/session/wiz_player.go:247	.Send
is already visible.	pkg/session/wiz_player.go:249	.Send
World not available.	pkg/session/wiz_stats.go:353	.Send
Room data not found.	pkg/session/wiz_stats.go:359	.Send
World not available.	pkg/session/wiz_stats.go:485	.Send
World not available.	pkg/session/wiz_stats.go:664	.Send
Parsed world data not available.	pkg/session/wiz_stats.go:670	.Send
Cannot access manager state.	pkg/session/wiz_system.go:213	.Send
Usage: reroll|pardon|notitle|squelch|freeze|thaw|unaffect <player>	pkg/session/wiz_system.go:447	.Send
Unknown sub-command. Options: reroll, pardon, notitle, squelch, freeze, thaw, unaffect	pkg/session/wiz_system.go:463	.Send
Usage: unaffect <player>	pkg/session/wiz_system.go:640	.Send
Broadcast what?	pkg/session/wiz_system.go:757	.Send
[Broadcast]	pkg/session/wiz_system.go:780	.Send(via msg)
No parsed world available.	pkg/session/wiz_zone.go:124	.Send
No parsed world available.	pkg/session/wiz_zone.go:165	.Send
Usage: olist <keyword>	pkg/session/wiz_zone.go:169	.Send
No objects found.	pkg/session/wiz_zone.go:187	.Send
No parsed world available.	pkg/session/wiz_zone.go:205	.Send
The force of the blast knocks you off your feet!	pkg/spells/affect_spells.go:2793	.SendMessage
just tried to summon you but failed.	pkg/spells/affect_spells.go:2964	.SendMessage
just tried to summon you but failed.	pkg/spells/affect_spells.go:3044	.SendMessage
A magical force prevents you from casting here.	pkg/spells/call_magic.go:48	.SendMessage
