route,source_file,surface,content_mode,review_tier,review_status,words,text_kind,voice_layer,source
/,src/pages/index.astro,core,authored static page,1,full editorial review,,,,
/.well-known/agent-skills/darkpawns/SKILL.md,../website/static/.well-known/agent-skills/darkpawns/SKILL.md,agent-discovery,machine-readable discovery,3,schema-and-link QA,,,,
/.well-known/agent-skills/index.json,../website/static/.well-known/agent-skills/index.json,agent-discovery,machine-readable discovery,3,schema-and-link QA,,,,
/.well-known/security.txt,../website/static/.well-known/security.txt,agent-discovery,machine-readable discovery,3,schema-and-link QA,,,,
/about/,src/pages/about.astro,core,authored static page,1,full editorial review,,,,
/about/dpreturns/,src/pages/about/dpreturns.astro,core,authored static page,1,full editorial review,,,,
/about/project/,src/pages/about/project.astro,core,authored static page,1,full editorial review,,,,
/archive/,src/pages/archive/index.astro,hub,authored collection framing,1,full editorial review,,,,
/archive/history.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,549,verbatim,frontline,Wayback capture identified by captureUrl
/archive/history/,src/content/archive/history.md,archive,preserved community artifact,2,verify against capture,549,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p492.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,2244,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p492/,src/content/archive/p492.md,archive,preserved community artifact,2,verify against capture,2244,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p501.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,1049,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p501/,src/content/archive/p501.md,archive,preserved community artifact,2,verify against capture,1049,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p513.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,347,verbatim,frontline,Wayback capture identified by captureUrl
/archive/p513/,src/content/archive/p513.md,archive,preserved community artifact,2,verify against capture,347,verbatim,frontline,Wayback capture identified by captureUrl
/archive/player-quotes.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,145,edited-excerpt,frontline,Wayback capture identified by captureUrl
/archive/player-quotes/,src/content/archive/player-quotes.md,archive,preserved community artifact,2,verify against capture,145,edited-excerpt,frontline,Wayback capture identified by captureUrl
/archive/topic-705.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,652,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-705/,src/content/archive/topic-705.md,archive,preserved community artifact,2,verify against capture,652,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-724.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,150,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-724/,src/content/archive/topic-724.md,archive,preserved community artifact,2,verify against capture,150,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-731.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,2935,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-731/,src/content/archive/topic-731.md,archive,preserved community artifact,2,verify against capture,2935,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-737.md,src/pages/archive/[...slug].md.ts,agent-markdown,generated Markdown representation,3,schema-and-sample QA,906,verbatim,frontline,Wayback capture identified by captureUrl
/archive/topic-737/,src/content/archive/topic-737.md,archive,preserved community artifact,2,verify against capture,906,verbatim,frontline,Wayback capture identified by captureUrl
/blog/,src/pages/blog/index.astro,hub,authored collection framing,1,full editorial review,,,,
