handler	command	case_id	depth	scope	status	proof	c_site	notes
do_disembowel	disembowel	disembowel.no-skill	D1	command	delegated	combat-skill-noskill	act.offensive.c:241-247	C's exact no-skill gate is covered by the shared command no-skill vehicle; this handler has the same audited message and early return.
do_disembowel	disembowel	disembowel.no-target	D1	command	unit-green	TestCmdDisembowel_NoTargetAtFightingPosition	act.offensive.c:249-260	With the table position gate satisfied but no resolved target and no FIGHTING(ch), C emits Disembowel who.
do_disembowel	disembowel	disembowel.self-target	D1	command	oracle-green-multiseed	disembowel-depth@1,2,3,5,8	act.offensive.c:261-265	A found self target is rejected before weapon checks with Nah. Hari Kari is for wimps.
do_disembowel	disembowel	disembowel.fighting-fallback	D1	command	unit-green	TestCmdDisembowel_FallsBackToFightingTarget	act.offensive.c:249-260	An absent typed target falls back to FIGHTING(ch), matching C's pointer precedence.
do_disembowel	disembowel	disembowel.no-wield	D2	command	unit-green	TestDoDisembowel_NoWeapon	act.offensive.c:266-270	A resolved target with no wielded actor weapon reaches the exact requirement gate.
do_disembowel	disembowel	disembowel.non-piercing	D2	command	unit-green	TestDoDisembowel_WrongWeapon	act.offensive.c:271-275	A wielded non-piercing weapon reaches the exact disembowel weapon-type refusal.
do_disembowel	disembowel	disembowel.mounted	D2	command	unit-green	TestDoDisembowel_Mounted	act.offensive.c:276-280	A mounted actor is refused before either percentage draw.
do_disembowel	disembowel	disembowel.skill-roll-failure	D2	command	unit-green	TestDoDisembowel_SkillRollFailureUsesDamageMessagePath	act.offensive.c:281-290	A standing target can take the normal-player percentage failure; the result routes zero damage through skill_message set 184 without improving.
do_disembowel	disembowel	disembowel.skill-message	D3	command	oracle-green-multiseed	disembowel-depth@1,2,3,5,8	fight.c:1023-1092; lib/misc/messages:184	The actor receives the native Disembowel message-set bytes, with the wielded dagger substituted for $p.
do_disembowel	disembowel	disembowel.hit-state	D4	state	unit-green	TestDoDisembowelDepthUsesCMessageAndDrawOrder	act.offensive.c:287-293; fight.c:1832-1878	The hit arm preserves the fixed level*2+damroll damage, StartCombat, two-round wait, and deferred improve after the C percent/probability, d20, and weapon-dice draws.
