handler	command	case_id	depth	scope	status	proof	c_site	notes
do_olc	sedit	sedit.no-argument	D1	command	oracle-green-multiseed	sedit-entry-depth@1,2,3,5,8	interpreter.c:684; olc.c:80-117	C's per-editor text is "shop", so the empty argument emits the exact shop VNUM prompt across the seed matrix (R1/R2/R5e).
do_olc	sedit	sedit.nonnumeric-argument	D1	command	oracle-green-multiseed	sedit-entry-depth@1,2,3,5,8	olc.c:119-145	Nonnumeric input without save reaches the exact safety response across the focused seed matrix (R1/R2/R5e).
do_olc	sedit	sedit.unknown-zone	D1	command	oracle-green-multiseed	sedit-entry-depth@1,2,3,5,8	olc.c:132-145	An unknown-zone request is rejected with the exact C text after the duplicate gate, including the new-shop path's cleanup (R1/R2/R4/R5e).
do_olc	sedit	sedit.interactive-olc	D3	state	oracle-green-multiseed	sedit-session-depth@1,2,3,5,8	olc.c:228-277; sedit.c:104-1179; interpreter.c:1738-1739	A valid shop enters CON_SEDIT and consumes q through the descriptor-owned parser, matching the main menu and clean quit path (R1/R2/R4/R5e).
do_olc	sedit	sedit.products-menu	D2	state	oracle-green-multiseed	sedit-boundaries-depth@1,2,3,5,8	sedit.c:558-594; sedit.c:1012-1028	Product VNUM display, menu return, and exact prompt bytes match the C menu (R1/R2/R5e).
do_olc	sedit	sedit.rooms-menu	D2	state	oracle-green-multiseed	sedit-boundaries-depth@1,2,3,5,8	sedit.c:595-649; sedit.c:1030-1046	Long and compact room menus preserve the raw clear-screen bytes and the every-fifth compact line rewrite (R1/R2/R5e).
do_olc	sedit	sedit.namelist-menu	D2	state	oracle-green-multiseed	sedit-boundaries-depth@1,2,3,5,8	sedit.c:650-678; sedit.c:1090-1179	Type/namelist display and the add path preserve C's numbered item table and paired optional keyword behavior (R1/R2/R4/R5e).
do_olc	sedit	sedit.flags-menu	D2	state	oracle-green-multiseed	sedit-boundaries-depth@1,2,3,5,8	sedit.c:680-735; sedit.c:1150-1179	Shop flag toggle, invalid zero fallthrough, and the dirty main-menu redraw match C (R1/R2/R5e).
do_olc	sedit	sedit.confirm-save	D2	state	oracle-green-multiseed	sedit-boundaries-depth@1,2,3,5,8	olc.c:216-225; sedit.c:817-835	The save confirmation and invalid retry retain C's exact prompt bytes and cancellation behavior (R1/R2/R5e).
do_olc	sedit	sedit.menu-colors-on-raw	D4	state	oracle-green-multiseed	sedit-menu-color-on@1,2,3,5,8	src/olc.c:416; src/screen.h:32-56; sedit.c:724-779	Raw ANSI bytes from get_char_cols are preserved at color level 2 (R1/R5a).
do_olc	sedit	sedit.menu-colors-off-raw	D4	state	oracle-green-multiseed	sedit-menu-color-off@1,2,3,5,8	src/olc.c:416; src/screen.h:40,50-56; sedit.c:724-779	With color disabled the raw menu contains no invented escape bytes (R1/R4).
do_olc	sedit	sedit.empty-numeric	D2	command	unit-green	TestSeditEmptyNumericInputAndMessages	sedit.c:817-825	The C numeric gate omits !*arg, so an empty numeric line reaches atoi("") == 0; the test also pins the %s message prefix (R1/R4/R5e).
do_olc	sedit	sedit.keeper-validation	D2	command	unit-green	TestSeditKeeperValidationKeepsPrompt	sedit.c:944-961	Invalid keeper VNUMs retain the keeper prompt and -1 is accepted (R1/R2/R5e).
do_olc	sedit	sedit.new-shop-defaults	D4	state	unit-green	TestSeditEntryGatesAndNewDefaults	sedit.c:103-130	New shops use C's keeper, close-hour, profit, and seven-message defaults (R1/R2/R4/R5e).
do_olc	sedit	sedit.disk-format	D5	state	unit-green	TestSeditSaveRoundTripAndWriter	sedit.c:469-551	The zone writer pins C's header, terminators, rates, message order/fallbacks, keeper/flags, rooms, and hours (R1/R4/R5e).
