handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	snuggle	snuggle.entry-gate	D1	command	unit-green	TestSnuggleRegistrationUsesCEntryGateAndRecord	interpreter.c:724;act.social.c:102-112;lib/misc/socials:794-802	The registered row is POS_RESTING; the social record preserves C's hide=1, victim-position=5, and all eight message slots (R1/R2/R5e).
do_action	snuggle	snuggle.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:724;comm.c:910-947	The shared POS_STANDING dispatcher rejection is owned by the existing flip position-gate vehicle (R2/R5b/R5c).
do_action	snuggle	snuggle.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The common PLR_NOSHOUT social refusal is owned by the shared dance vehicle (R1/R5b/R5c).
do_action	snuggle	snuggle.no-argument	D2	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:119-123;lib/misc/socials:794-802	No argument emits C's actor prompt and silent # room sentinel (R1/R3/R4/R5e).
do_action	snuggle	snuggle.target-success	D3	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:137-151;lib/misc/socials:794-802	A visible target reaches the authored actor, non-victim observer, and victim snuggle messages (R1/R3/R5e).
do_action	snuggle	snuggle.target-audience	D3	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:145-151;comm.c:2392-2555	Named target and observer peers verify the three C Act audiences and exact pronoun substitution (R1/R3/R5e).
do_action	snuggle	snuggle.argument-first-token	D2	command	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	interpreter.c:1265-1283;act.social.c:114-121	C one_argument resolves only the first target token; trailing words do not alter the target branch (R1/R2/R3/R5e).
do_action	snuggle	snuggle.mob-target	D2	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:128-151;lib/misc/socials:794-802	A visible descriptor-less NPC follows the same C target-success audience path (R1/R3/R5e).
do_action	snuggle	snuggle.self-target	D2	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:134-140;lib/misc/socials:794-802	The self target reaches the authored C char_auto and others_auto lines (R1/R3/R5e).
do_action	snuggle	snuggle.target-not-found	D1	command	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:128-132;lib/misc/socials:794-802	A missing target emits the authored victim-not-here line before any audience success path (R1/R3/R5e).
do_action	snuggle	snuggle.sleeping-target	D1	audience	oracle-green-multiseed	snuggle-depth@1,2,3,5,8	act.social.c:140-143;lib/misc/socials:794-802	A sleeping target fails C's POS_STANDING victim-position gate and emits only the canonical actor refusal (R1/R3/R5e).
do_action	snuggle	snuggle.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151;comm.c:2392-2555	Visible-room lookup and Act audience visibility are owned by the shared social matrix (R1/R5b/R5c).
