handler	command	case_id	depth	scope	status	proof	c_site	notes
do_steal	steal	steal.no-argument	D1	command	oracle-green-multiseed	steal-depth@1,2	act.other.c:309-531	The empty command reaches C's exact Steal what from who? refusal before target or inventory lookup (R1/R2/R3/R5e).
do_steal	steal	steal.target-not-found	D1	command	oracle-green-multiseed	steal-depth@1,2	act.other.c:309-531; handler.c:1276-1300	The visible-room target miss preserves C's direct NOPERSON bytes and does not invent a world-wide target (R1/R2/R3/R5e).
do_steal	steal	steal.inventory-success	D4	state	oracle-green-multiseed	steal-depth@1,2	act.other.c:309-531	A visible trainee's carried bread reaches the ordinary object-transfer arm with C's actor/victim output and state (R1/R3/R5e).
do_steal	steal	steal.missing-item	D2	command	oracle-green-multiseed	steal-depth@1,2	act.other.c:309-531	The first object token is resolved from the victim's inventory and the missing-item refusal remains exact (R1/R2/R5e).
do_steal	steal	steal.coins-zero-gold	D4	state	oracle-green-multiseed	steal-depth@1,2	act.other.c:309-531	The coin branch preserves C's zero-gold outcome and its no-transfer output (R1/R3/R5e).
do_steal	steal	steal.two-one-argument-parser	D2	command	oracle-green-multiseed	steal-depth@1,2	interpreter.c:1265-1283; act.other.c:309-531	Both object and target operands use C one_argument parsing: fill words are skipped and trailing words are ignored (R1/R2/R3/R5e).
do_practice	practice	practice.no-argument	D1	command	oracle-green-multiseed	skills-practice@1,2	interpreter.c:618; act.other.c:543-555	A bare practice command reaches the C skill-list path and preserves its exact catalog bytes (R1/R2/R3/R5e).
do_practice	practice	practice.guild-redirect	D2	command	oracle-green-multiseed	skills-practice@1,2	act.other.c:543-555	Any first argument outside a guildmaster special returns the exact guild-direction line (R1/R2/R3/R5e).
do_practice	practice	practice.guild-intercept	D4	shared	delegated	mob.guild-list	spec_procs.c:201-249; act.other.c:543-555	The active guildmaster intercepts practice before do_practice; guild list/learn state and output are owned by the proven guild special family (R5b/R5c).
do_visible	visible	visible.no-affect	D1	command	oracle-green-multiseed	mortal-batch3@1,2	act.other.c:559-584	A mortal with no visibility affects receives C's already-visible line (R1/R2/R3/R5e).
do_visible	visible	visible.sneak-cleanup	D4	state	unit-green	TestDoVisibleRemovesSneakAndStealthAffects	act.other.c:574-581	Focused state proof confirms the ordinary and ninja stealth records are both removed with AFF_SNEAK before the handler returns (R3/R5e).
do_visible	visible	visible.zai-gate	D1	command	unit-green	TestDoVisiblePreservesCEntryGateOrder	act.other.c:563-566	The focused entry-gate proof keeps the active kuji-kiri zai refusal ahead of immortal and ordinary visibility handling (R1/R5e).
do_visible	visible	visible.immortal-path	D3	shared	unit-green	TestDoVisiblePreservesCEntryGateOrder	act.other.c:563-566; act.wizard.c:1621-1636	The focused proof reaches the shared perform_immort_vis already-visible branch from do_visible (R1/R3/R5b/R5c).
do_visible	visible	visible.invisible-path	D3	shared	unit-green	TestDoVisiblePreservesCEntryGateOrder	act.other.c:568-573; fight.c:108-121	The focused proof reaches the AFF_INVISIBLE appear branch and clears its state before the direct acknowledgement (R1/R3/R5b/R5c).
do_visible	visible	visible.invisible-appearance	D3	shared	delegated	invis.appear-audience	act.other.c:568-573; fight.c:108-121	The AFF_INVISIBLE branch delegates to the canonical appear state/audience proof rather than duplicating it (R5b/R5c).
do_visible	visible	visible.immortal-appearance	D3	shared	delegated	invis.toggle-off	act.other.c:563-566; act.wizard.c:1621-1636	Immortal visibility uses the shared perform_immort_vis path already proven by invis (R5b/R5c).
do_title	title	title.clear	D1	command	oracle-green-multiseed	title-depth@1,2	act.other.c:595-620	A bare title clears the stored title and preserves C's exact acknowledgement spacing (R1/R2/R3/R5e).
do_title	title	title.success	D2	command	oracle-green-multiseed	title-depth@1,2	act.other.c:595-620	The full first-argument remainder is retained in the successful title acknowledgement (R1/R2/R3/R5e).
do_title	title	title.doubled-dollar	D2	command	oracle-green-multiseed	title-depth@1,2	act.other.c:595-620; interpreter.c:1203-1225	The live direct-send title path preserves the oracle's doubled-dollar acknowledgement bytes after ANSI preprocessing (R1/R5e).
do_title	title	title.parentheses	D1	command	oracle-green-multiseed	title-depth@1,2	act.other.c:595-620	Parentheses are rejected before title state mutation with C's exact refusal (R1/R5e).
do_title	title	title.too-long	D1	command	oracle-green-multiseed	title-depth@1,2	act.other.c:595-620	The greater-than-80-byte title is rejected with C's exact maximum-length line (R1/R5e).
do_ungroup	ungroup	ungroup.target-not-found	D1	command	oracle-green-multiseed	ungroup-depth@1,2	act.other.c:744-794; handler.c:1276-1300	The unresolved room target reaches the exact C There is no such person! branch (R1/R2/R3/R5e).
do_ungroup	ungroup	ungroup.target-not-following	D1	command	oracle-green-multiseed	ungroup-depth@1,2	act.other.c:744-794	A visible room character who is not the actor's follower receives C's exact follower refusal (R1/R3/R5e).
do_ungroup	ungroup	ungroup.one-argument	D2	command	oracle-green-multiseed	ungroup-depth@1,2	act.other.c:744-794; interpreter.c:1265-1283	The target uses C one_argument parsing, so trailing words do not alter member lookup or the subsequent audience (R1/R2/R3/R5e).
do_ungroup	ungroup	ungroup.member-audience	D3	audience	oracle-green-multiseed	ungroup-depth@1,2	act.other.c:744-794; comm.c:2392-2555	Specific-member removal preserves actor, victim, and observer kick/stop-following bytes (R1/R3/R5e).
do_ungroup	ungroup	ungroup.disband-audience	D3	audience	oracle-green-multiseed	ungroup-depth@1,2	act.other.c:744-794	No-argument disbanding preserves C's actor-only acknowledgement and group state transition (R1/R3/R5e).
do_wimpy	wimpy	wimpy.current	D1	command	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	The no-argument path reports the current threshold with C's exact bytes (R1/R2/R3/R5e).
do_wimpy	wimpy	wimpy.accepted	D4	state	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	A valid first decimal token updates the threshold and emits C's acknowledgement (R1/R3/R5e).
do_wimpy	wimpy	wimpy.zero	D4	state	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	Zero disables wimpy and preserves the exact tough-it-out line (R1/R3/R5e).
do_wimpy	wimpy	wimpy.max-gate	D1	command	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	A threshold above maximum hit points reaches C's sense check and exact refusal (R1/R3/R5e).
do_wimpy	wimpy	wimpy.third-gate	D1	command	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	A threshold above one third of maximum hit points reaches C's exact non-sensical-value refusal (R1/R3/R5e).
do_wimpy	wimpy	wimpy.atoi-prefix	D2	command	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	C atoi consumes the leading decimal prefix in 6junk, retaining the accepted value and draw-free state path (R1/R3/R5e).
do_wimpy	wimpy	wimpy.isdigit-gate	D1	command	oracle-green-multiseed	wimpy-depth@1,2	act.other.c:37-47	Signed and nonnumeric first bytes fail C's isdigit gate before atoi and return the canonical prompt (R1/R3/R5e).
do_wimpy	wimpy	wimpy.fill-word	D2	command	oracle-green-multiseed	wimpy-depth@1,2	interpreter.c:1265-1283; act.other.c:37-47	Leading fill words are skipped by one_argument before the accepted numeric token (R1/R2/R5e).
do_transform	transform	transform.non-eligible	D1	command	oracle-green-multiseed	transform-depth@1,2	act.other.c:1415-1542	An ordinary mortal is rejected before weather, moon, or argument handling with C's exact line (R1/R2/R5e).
do_transform	transform	transform.vampire-day-gate	D1	command	oracle-green-multiseed	transform-depth@1,2	act.other.c:1487-1542	A vampire flag at daytime reaches C's no-transform gate without consuming a command argument (R1/R3/R5e).
do_transform	transform	transform.argument-ignored	D2	command	oracle-green-multiseed	transform-depth@1,2	act.other.c:1415-1542	Trailing words do not alter the transform state machine; only the live flag, affect, sunlight, day, and moon inputs matter (R1/R2/R3/R5e).
