handler	command	case_id	depth	scope	status	proof	c_site	notes
do_retreat	escape	escape.position-gate	D1	command	oracle-green-multiseed	escape-depth@1,2,3,5,8	interpreter.c:434; act.offensive.c:1018-1023	The registered POS_FIGHTING command rejects a sleeping caller before do_retreat's skill, combat, and RNG branches.
do_retreat	escape	escape.no-skill	D1	command	oracle-green-multiseed	escape-no-skill@1,2,3,5,8	act.offensive.c:1024-1028	A fresh mortal with neither C escape nor retreat skill receives Huh?; trailing command words are ignored by the no-argument handler.
do_retreat	escape	escape.ninja-class	D2	command	oracle-green-multiseed	escape-ninja-no-fight@1,2,3,5,8	act.offensive.c:1009-1016,1030-1034	Ninja class selection uses the escape spelling and C's escape-of-the-mongoose catalog entry is normalized to the Go combat key at the skillset boundary.
do_retreat	escape	escape.no-fight	D2	command	oracle-green-multiseed	escape-no-fight@1,2,3,5,8	act.offensive.c:1030-1034	A skilled ordinary class with no FIGHTING target receives the exact Retreat from what? response before any percent draw.
do_retreat	escape	escape.argument-ignored	D1	command	oracle-green-multiseed	escape-no-fight@1,2,3,5,8	act.offensive.c:1001-1075	do_retreat consumes no argument; escape nonsense extra follows the same no-fight path and emits no invented argument error.
do_retreat	escape	escape.failure	D2	command	oracle-green-multiseed	escape-failure@1,2,3,5,8	act.offensive.c:1037-1048	A retreat skill of 1 forces the percent-failure arm and its exact cornered message without entering movement.
do_retreat	escape	escape.success-actor	D2	command	oracle-green-multiseed	escape-success@1,2,3,5,8	act.offensive.c:1050-1068	A successful retreat uses canonical do_simple_move and emits the destination look plus the exact hasty-retreat actor line.
do_retreat	escape	escape.success-origin-audience	D3	audience	oracle-green-multiseed	escape-success@1,2,3,5,8	act.offensive.c:1057-1060	The origin peer receives the losing-cause attempt and canonical leave bytes with the selected direction.
do_retreat	escape	escape.success-destination-audience	D3	audience	oracle-green-multiseed	escape-success@1,2,3,5,8	act.offensive.c:1061-1068; act.movement.c:231-273	The destination peer receives the reverse-direction arrival bytes from the canonical movement callee.
do_retreat	escape	escape.direction-draw-parity	D5	rng	oracle-green-multiseed	escape-success@1,2,3,5,8	act.offensive.c:1050-1054	All six independent direction draws are preserved; the observer arrival direction exposes the selected draw across the seed matrix.
do_retreat	escape	escape.cornered-terminal	D2	command	oracle-green-multiseed	escape-cornered@1,2,3,5,8	act.offensive.c:1070-1075	Six unusable direction attempts reach the terminal actor and room cornered messages.
do_retreat	escape	escape.movement-failure	D3	audience	oracle-green-multiseed	escape-movement-failure@1,2,3,5,8	act.offensive.c:1057-1068; act.movement.c:315-320	An occupied tunnel makes canonical movement return false after the attempt Act; actor and origin failure bytes match C.
do_retreat	escape	escape.combat-preserved	D4	state	unit-green	TestCmdRetreat_PreservesCombatStateAfterSuccess	act.offensive.c:1061-1068; act.movement.c:226-236	Unlike do_flee, do_retreat does not stop combat; the focused test proves successful movement preserves the combat-engine pair.
do_retreat	escape	escape.failure-wait	D4	state	unit-green	TestCmdRetreat_FailureSetsThreeRoundWait	act.offensive.c:1040-1048	The failure arm calls improve_skill then WAIT_STATE(PULSE_VIOLENCE+2), modeled as three violence rounds with no extra player-facing bytes.
do_retreat	escape	escape.automatic-wimp-hook	D5	automatic-call	unit-green	TestSetFleeHooks_RetreatUsesRetreatHandler	fight.c:1608; manager.go:SetFleeHooks	The combat wimp path dispatches to do_retreat when retreat/escape skill is present; the manager hook reaches the retreat handler and its movement bytes rather than cmd_flee.
