handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	shame	shame.entry-gate	D1	command	unit-green	TestShameRegistrationUsesCEntryGate	interpreter.c:688;act.social.c:102-151;lib/misc/socials:1366-1374	The registered C row is POS_RESTING with no command minimum; the focused test pins the zero-hide, zero-victim-position social metadata and all authored messages (R1/R2/R5e).
do_action	shame	shame.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:688;comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle (R5b/R5c).
do_action	shame	shame.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the existing do_action social gate vehicle (R5b/R5c).
do_action	shame	shame.no-argument	D2	audience	oracle-green-multiseed	shame-depth@1,2,3,5,8	act.social.c:119-127;lib/misc/socials:1366-1374	No argument emits the exact shame actor and ordinary room lines across the deterministic seed matrix (R1/R3/R5e).
do_action	shame	shame.target-success	D3	audience	oracle-green-multiseed	shame-depth@1,2,3,5,8	act.social.c:145-151;lib/misc/socials:1366-1374	A visible target receives the exact actor and victim messages, and the distinct observer receives the TO_NOTVICT room line (R1/R3/R5e).
do_action	shame	shame.target-audience	D3	audience	oracle-green-multiseed	shame-depth@1,2,3,5,8	act.social.c:145-151;comm.c:2392-2555;lib/misc/socials:1366-1374	The observer receives the room line while actor and victim are excluded by TO_NOTVICT; the victim receives the dedicated line (R1/R3/R5e).
do_action	shame	shame.argument-first-token	D2	command	oracle-green-multiseed	shame-depth@1,2,3,5,8	interpreter.c:1265-1283;act.social.c:114-121;lib/misc/socials:1366-1374	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	shame	shame.self-target	D2	audience	oracle-green-multiseed	shame-depth@1,2,3,5,8	act.social.c:134-140;lib/misc/socials:1366-1374	A self target uses the authored actor and room self lines (R1/R3/R5e).
do_action	shame	shame.target-not-found	D1	command	oracle-green-multiseed	shame-depth@1,2,3,5,8	act.social.c:128-132;lib/misc/socials:1366-1374	A missing visible-room target receives the exact Who?!? refusal and no target audience act (R1/R3/R5e).
do_action	shame	shame.sleeping-target	D3	audience	oracle-green-multiseed	shame-sleeping-depth@1,2,3,5,8	act.social.c:140-151;comm.c:2392-2555;lib/misc/socials:1366-1374	The authored zero victim-position minimum admits a sleeping target; C sends actor and observer bytes but no TO_VICT line to the sleeping target (R1/R3/R5e).
do_action	shame	shame.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151;comm.c:2392-2555	Target lookup and ordinary actor/room/victim visibility behavior are owned by the social matrix (R1/R5b/R5c).
