handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	ren	ren.entry-gate	D1	command	unit-green	TestRenRegistrationUsesCEntryGateAndRecord	interpreter.c:645; act.social.c:102-112; lib/misc/socials:630-638	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 0, the default zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	ren	ren.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:645; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing social position-gate vehicle (R5b/R5c).
do_action	ren	ren.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before target parsing and is owned by the social boundary (R5b/R5c).
do_action	ren	ren.no-argument	D2	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:630-638	No argument emits the exact actor and ordinary room ren messages across the deterministic seed matrix (R1/R3/R5e).
do_action	ren	ren.target-success	D3	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:141-151; lib/misc/socials:630-638	A visible target receives the exact actor and victim ren messages, and the distinct observer receives the TO_NOTVICT room line (R1/R3/R5e).
do_action	ren	ren.target-audience	D3	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:630-638	The unhidden social reaches the distinct observer only through TO_NOTVICT while actor and victim receive their dedicated records (R1/R3/R5e).
do_action	ren	ren.argument-first-token	D2	command	oracle-green-multiseed	ren-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:630-638	C one_argument skips the leading fill word and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	ren	ren.mob-target	D3	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	handler.c:1276-1300; lib/misc/socials:630-638	The generic mob is resolved through its authored keyword namelist and follows the same target social path (R1/R2/R3/R5e).
do_action	ren	ren.self-target	D2	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:630-638	The named self target emits the exact authored char_auto and others_auto ren messages (R1/R3/R5e).
do_action	ren	ren.target-not-found	D1	command	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:630-638	An unresolved visible-room target emits the exact ren-specific direct-send refusal (R1/R3/R5e).
do_action	ren	ren.sleeping-target	D3	audience	oracle-green-multiseed	ren-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:630-638	The zero victim-position minimum admits a sleeping target; actor and observer retain C's audience bytes while SENDOK suppresses the sleeping victim record (R1/R3/R5e).
