handler	command	case_id	depth	scope	status	proof	c_site	notes
do_scout	scout	scout.entry-gate	D1	command	unit-green	TestScoutRegistrationUsesCEntryGate	interpreter.c:676; comm.c:910-947	The registered C row permits every level at POS_STANDING and the focused test pins the entry gate (R1/R2/R5e).
do_scout	scout	scout.no-argument	D1	command	oracle-green-multiseed	scout-depth@1,2,3,5,8	act.other.c:1836-1839	A missing argument emits exactly Scout where? (R1/R3/R5e).
do_scout	scout	scout.invalid-direction	D1	command	oracle-green-multiseed	scout-depth@1,2,3,5,8	act.other.c:1840-1843	An unknown direction emits exactly Scout in which direction? (R1/R3/R5e).
do_scout	scout	scout.fill-word-direction	D1	command	oracle-green-multiseed	scout-depth@1,2,3,5,8	interpreter.c:1265-1283; act.other.c:1836-1846	C one_argument drops the leading fill word before direction search (R1/R2/R3/R5e).
do_scout	scout	scout.outdoors-gate-default-room	D1	command	oracle-green-multiseed	scout-depth@1,2,3,5,8	act.other.c:1847-1850; utils.h:581-582	A valid skilled scout in the default indoor start room receives the exact outdoor refusal (R1/R3/R5e).
do_scout	scout	scout.outdoors-gate	D1	command	oracle-green-multiseed	scout-gates-depth@1,2,3,5,8	act.other.c:1847-1850; utils.h:581-582	The explicit ROOM_INDOORS fixture isolates the outdoor gate after skillset (R1/R3/R5e).
do_scout	scout	scout.no-skill	D1	command	oracle-green-multiseed	scout-no-skill-depth@1,2,3,5,8	act.other.c:1844-1846	A mortal with zero SKILL_SCOUT receives the late skill refusal before location or exit checks (R1/R3/R5e).
do_scout	scout	scout.no-skill-fill-word	D1	command	oracle-green-multiseed	scout-no-skill-depth@1,2,3,5,8	interpreter.c:1265-1283; act.other.c:1836-1846	The skill gate sees the direction after C one_argument removes the leading fill word (R1/R2/R3/R5e).
do_scout	scout	scout.no-exit	D1	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1851-1857	A valid skilled outdoor scout with no exit emits only the exact no-interest refusal (R1/R3/R5e).
do_scout	scout	scout.one-argument	D2	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	interpreter.c:1265-1283; act.other.c:1836-1860	C uses only the first direction token and prints the canonical direction name (R1/R2/R3/R5e).
do_scout	scout	scout.terrain-city	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1859-1900; structs.h:93-107	The destination sector dispatch emits the exact city terrain sentence (R1/R3/R5e).
do_scout	scout	scout.destination-dark	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1901-1905	ROOM_DARK adds the exact dark warning after terrain output (R1/R3/R5e).
do_scout	scout	scout.destination-death	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1904-1907	ROOM_DEATH adds the exact unsafe-travel warning in C order (R1/R3/R5e).
do_scout	scout	scout.destination-tunnel	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1906-1908	ROOM_TUNNEL adds the exact narrow-passage warning in C order (R1/R3/R5e).
do_scout	scout	scout.destination-object	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1910-1917	A nonempty destination contents list adds the exact ground-object line (R1/R3/R5e).
do_scout	scout	scout.destination-people	D3	command	oracle-green-multiseed	scout-success-depth@1,2,3,5,8	act.other.c:1914-1922; constants.c:92-110	The destination player plus mob count reaches C crowd_size[2] and emits the exact audience-independent scout line (R1/R3/R5e).
do_scout	scout	scout.terrain-switch	D3	state	unit-green	TestDoScoutTerrainAndCrowdDescriptions	act.other.c:1859-1900; constants.c:92-110; structs.h:93-107	Focused coverage pins every C sector description, default branch, and crowd-size boundary without inventing an oracle-only room (R1/R3/R5e).
