handler	command	case_id	depth	scope	status	proof	c_site	notes
gen_board	look	boards.list-empty	D1	command	oracle-green	boards-depth	boards.c:288-318	Empty bulletin-board listing and its usage text.
gen_board	read	boards.read-empty	D1	command	oracle-green	boards-depth	boards.c:321-350	READ 1 reports the C empty-board arm; READ board shares the list path.
gen_board	write	boards.write-headline	D2	command	oracle-green	boards-depth	boards.c:180-271; improved-edit.c:17-22	Headline allocation enters the C improved editor with its exact instructions.
gen_board	write	boards.post-body	D3	command	oracle-green	boards-depth	boards.c:252-271; modify.c:114-235	Board body lines are posted through the PLR_WRITING string editor and saved by @.
gen_board	write	boards.revise-post	D3	command	oracle-green	boards-depth	improved-edit.c:392-437	Improved-editor /e line replacement returns the exact C acknowledgement and persists the revised body.
do_reply	reply	boards.reply-writing	D2	shared	oracle-green	boards-depth	act.comm.c:958-960	Reply to the active poster receives the C writing gate after a valid last-teller setup.
gen_board	remove	boards.remove-active	D2	command	oracle-green	boards-depth	boards.c:349-354	Removing a post while its author is editing is refused until the author finishes.
gen_board	remove	boards.remove-own	D2	shared	oracle-green	boards-depth	boards.c:356-367	The author can remove the saved post and the room receives C's numbered echo.
gen_board	remove	boards.remove-author-level-38	D2	command	oracle-green	boards-remove-authority-depth	boards.c:371-410	On real board 19652 with read/remove level 0, a level-38 actor reaches C's author-level rejection against a level-40 author.
gen_board	remove	boards.remove-author-level-39	D2	command	oracle-green	boards-remove-authority-depth	boards.c:371-410	C's LVL_IMPL-1 boundary bypasses the higher-author-level comparison for a level-39 actor; this is the corrected case.
gen_board	remove	boards.remove-author-level-40	D2	command	oracle-green	boards-remove-authority-depth	boards.c:371-410	Equal level-40 author/remover succeeds through the same real assigned-board path.
gen_board	remove	boards.remove-author-level-rejection-state	D4	state	unit-green	TestBoardSystem_RemoveMsg_AuthorLevelBoundary	boards.c:403-425	Independent state test proves level-38 rejection preserves the message, storage slot, and saved board file.
gen_board	remove	boards.remove-preserves-adjacent	D4	state	unit-green	TestBoardSystem_RemoveMsg_PreservesAdjacentMessages	boards.c:411-438	Independent state test proves middle-message removal compacts without losing adjacent messages and persists the resulting order.
