handler	command	case_id	depth	scope	status	proof	c_site	notes
do_detect	search	search.entry-gate	D1	command	unit-green	TestSearchRegistrationUsesCEntryGate	interpreter.c:411; new_cmds2.c:500-507	The registered row is POS_STANDING with no level minimum; the focused registry test pins the C gate (R1/R2/R5e).
do_detect	search	search.no-skill	D1	command	oracle-green-multiseed	search-gates-depth@1,2,3,5,8	new_cmds2.c:504-507	An ordinary no-skill player receives Yeah, right. before any room lookup or RNG draw (R1/R3/R5e).
do_detect	search	search.no-secret-success	D2	command	oracle-green-multiseed	search-depth@1,2,3,5,8	new_cmds2.c:510-522	The successful roll emits only the room-check line when no exit keyword contains lowercase secret; Go no longer invents a failure suffix (R1/R3/R5e).
do_detect	search	search.arguments-ignored	D2	command	oracle-green-multiseed	search-depth@1,2,3,5,8	interpreter.c:1265-1283; new_cmds2.c:500-541	The handler ignores its argument, so trailing words follow the same no-secret success path (R1/R2/R3/R5e).
do_detect	search	search.secret-exit-order	D3	command	oracle-green-multiseed	search-secret-depth@1,2,3,5,8	new_cmds2.c:522-540; constants.c:45-52	All six fixture exits expose C dirs[] order and exact wall/ceiling/floor wording (R1/R3/R5e).
do_detect	search	search.secret-room-mark	D4	state	unit-green	TestDoDetectDepthSuccessOrderAndSecretMark	new_cmds2.c:537-538	A discovered exit sets ROOM_SECRET_MARK in the C room flag word; the focused test pins the persistent bit and no success wait (R1/R4/R5e).
do_detect	search	search.case-sensitive-keyword	D2	command	oracle-green-multiseed	search-case-depth@1,2,3,5,8	new_cmds2.c:522-523	C uses case-sensitive strstr, so uppercase SECRET is not discovered (R1/R3/R5e).
do_detect	search	search.failed-roll	D2	command	oracle-green-multiseed	search-failure-depth@1,2,3,5,8	new_cmds2.c:510-520	The initial room-check line precedes the failed-roll message, even with no secret exits (R1/R3/R5e).
do_detect	search	search.wait-state	D4	state	unit-green	TestDoDetectDepthFailureMessageWaitAndRollRange	new_cmds2.c:518-520	Failure applies exact WAIT_STATE(PULSE_VIOLENCE + 1), represented as 21 pulses in Go; the live vehicle drains it with twenty-pulse pads (R1/R3/R5e).
do_detect	search	search.elf-bypass	D1	state	unit-green	TestDoDetectDepthGatesAndOutput	new_cmds2.c:504-507	C checks GET_RACE, not GET_CLASS; the focused test uses an elf warrior with zero skill and proves it reaches the roll branch (R1/R5e).
do_detect	search	search.blind	D1	state	unit-green	TestDoDetectDepthGatesAndOutput	new_cmds2.c:508-510	Blindness returns the authored profanity line before the room-check output or RNG (R1/R5e).
do_detect	search	search.rng-upper-bound	D5	state	unit-green	TestDoDetectDepthFailureMessageWaitAndRollRange	new_cmds2.c:518	The focused boundary seed distinguishes C number(1,101) from the old Go number(1,100), including the 100/101 roll domain (R3/R5e).
do_detect	search	search.shared-position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:411; comm.c:910-947	The command interpreter owns the POS_STANDING rejection shared by existing command manifests (R2/R5b/R5c).
