handler	command	case_id	depth	scope	status	proof	c_site	notes
do_olc	oedit	oedit.no-argument	D1	command	oracle-green-multiseed	oedit-entry-depth@1,2,3,5,8	olc.c:88-105	An empty argument reaches C's per-editor VNUM prompt; olc_scmd_info[SCMD_OLC_OEDIT].text is the literal "object", so the byte string is "Specify a object VNUM to edit." (R1/R2/R5e).
do_olc	oedit	oedit.nonnumeric-argument	D1	command	oracle-green-multiseed	oedit-entry-depth@1,2,3,5,8	olc.c:106-130	Nonnumeric input without "save" reaches C's safety response byte-for-byte across the focused seed matrix (R1/R2/R5e).
do_olc	oedit	oedit.unknown-zone	D1	command	oracle-green-multiseed	oedit-entry-depth@1,2,3,5,8	olc.c:132-175	A VNUM outside every zone reaches C's exact unknown-zone response, and the duplicate reservation is released on that refusal path (R1/R2/R4/R5e).
do_olc	oedit	oedit.interactive-olc	D3	state	oracle-green-multiseed	oedit-entry-depth@1,2,3,5,8	olc.c:228-239; interpreter.c:1726-1727	A valid object enters the descriptor-owned editor and routes later lines through oedit_parse, including invalid main-menu input and the changed-object quit path (R1/R2/R4/R5e).
do_olc	oedit	oedit.weapon-val3-fallthrough	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:1323-1351	OEDIT_VALUE_3's ITEM_WEAPON case sets 1..50 with NO break and falls into ITEM_WAND/ITEM_STAFF, which overwrite to 0..20. Weapons are clamped 0-20, never 1-50; the port reproduces the fallthrough deliberately (R1/R5e).
do_olc	oedit	oedit.cost-prompt	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:1104-1107,1243-1245	The prompt claims "Enter cost (10000 max): " while OEDIT_COST is a bare atoi with no clamp; both halves are reproduced (R1/R4/R5e).
do_olc	oedit	oedit.type-menu	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:861-875,1180-1188	The type menu lists entries from 0, but 0 and NUM_ITEM_TYPES itself are refused with "Invalid choice, try again : " and the prototype is untouched (R1/R2/R5e).
do_olc	oedit	oedit.extras-wear-asymmetry	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:1191-1197,1215-1222	An out-of-range extra-flag number silently redisplays the extras menu; the same mistake in the wear menu emits "That's not a valid choice!" first. Both byte sequences are reproduced (R1/R4/R5e).
do_olc	oedit	oedit.load-float	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:1004-1010,1248-1257,967-976	Percent load goes through atof, round_float(0.01) in single precision, a 0..100 clamp, and the menu's two renderings ("%.2f" and "1 in %d" from (int)(100.0/load + 0.5), or "Never") (R1/R3/R5e).
do_olc	oedit	oedit.extra-desc	D4	state	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:529-556,1468-1542; olc.c:520-523	The object extra-desc menu is its own shape (header, 0) Quit, "Enter choice : ") and an empty keyword goes through str_udup to the literal "undefined" (R1/R2/R4/R5e).
do_olc	oedit	oedit.apply-forms	D4	state	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:559-593,1380-1426	The per-slot apply prompt renders "%+d" plain modifiers and "None." empty slots, and APPLY_RACE_HATE/APPLY_SPELL route to their own menus and print the modifier's table name (R1/R2/R4/R5e).
do_olc	oedit	oedit.confirm-save	D2	command	oracle-green-multiseed	oedit-boundaries-depth@1,2,3,5,8	oedit.c:1025-1047	The first save prompt ends with " : " and the invalid-input retry drops it; 'y' emits "Saving object to memory." before the commit (R1/R2/R5e).
do_olc	oedit	oedit.menu-colors-on-raw	D4	state	oracle-green-multiseed	oedit-menu-color-on@1,2,3,5,8	src/olc.c:416; src/screen.h:32-56; src/oedit.c:929-1001	OEDIT menus embed get_char_cols ANSI (grn/nrm/cyn/yel) at color level >= 2; keep-ansi compares the raw escape bytes themselves, with creation answering Y to the ANSI question (R1/R5a).
do_olc	oedit	oedit.menu-colors-off-raw	D4	state	oracle-green-multiseed	oedit-menu-color-off@1,2,3,5,8	src/olc.c:416; src/screen.h:40,50-56; src/oedit.c:929-1001	With color off every menu byte is plain; keep-ansi proves the port neither drops nor invents escape bytes at color level 0 (R1/R4).
do_olc	oedit	oedit.timer-session-local	D4	state	oracle-green-multiseed	oedit-menu-color-on@1,2,3,5,8	oedit.c:967-977,1260-1263; db.c:1431	The main menu's Timer line and OEDIT_TIMER are byte-exact, but the value is session-local: parser.Obj has no timer field because the C .obj reader never loads one ("%d %d %f" only) and neither writer emits one. Flagged as a finding, not silently accommodated (R1/R4/R5e).
do_olc	oedit	oedit.value-cascade	D2	command	unit-green	TestOeditValueCascadeSkipsByType	oedit.c:717-858	Type-driven value cascade: LIGHT jumps to val3, WEAPON/MISSILE/FIREWEAPON skip val0, FOOD skips vals 2-3, CONTAINER's val2 is the container-flag menu (R1/R4).
do_olc	oedit	oedit.percent-load-float	D2	command	unit-green	TestOeditPercentLoadFloatSemantics	oedit.c:1004-1010,1248-1257	Single-precision round_float and the 0..100 clamp over representative inputs including 12.567 -> 12.57 and "1 in 8" (R1/R3/R5e).
do_olc	oedit	oedit.entry-gate	D1	command	unit-green	TestOeditRegistrationUsesCEntryGate	interpreter.c:592	The registered command carries C's POS_DEAD and LVL_BUILDER entry gate (R1/R2/R5e).
do_olc	oedit	oedit.working-copy	D4	state	unit-green	TestOeditWorkingCopySaveAndAbort	oedit.c:65-158	Working edits remain descriptor-local until the save confirmation is accepted; abort leaves the live prototype unchanged (R1/R4/R5e).
do_olc	oedit	oedit.new-object-defaults	D4	state	unit-green	TestOeditNewObjectDefaults	oedit.c:98-109; db.c:2993-3000	oedit_setup_new on clear_object: the unfinished strings, ITEM_WEAR_TAKE, and a never-saved object refusing the script menu (R1/R2/R4).
do_olc	oedit	oedit.save-message	D2	command	unit-green	TestOeditNoZoneSaveGate	olc.c:196-201; oedit.c:338-451	"oedit save <zone>" emits "Saving all objects in zone." and an empty zone argument gets "Save which zone?" (R1/R2).
do_olc	oedit	oedit.disk-format	D5	state	unit-green	TestOeditNewObjectCommitAndDiskSave	oedit.c:372-448	The .obj writer emits four tilde strings, the 9-int type/extra/wear line, the 4-int values line, "weight cost %.2f load", optional S/E/A blocks, and "$~"; the written zone parses back through the real parser (R1/R4/R5e).
do_olc	oedit	oedit.live-instances	D5	state	unit-green	TestOeditRefreshLiveInstancesPreservesRuntimePlacement	oedit.c:180-198	C's save-internally swaps every standing instance onto the edited full struct while the runtime placement fields survive; the port repoints the prototype and clears the instance-level overrides a struct copy would have overwritten (R1/R3/R5e).
do_olc	oedit	oedit.script-shallow	D3	state	unit-green	TestOeditScriptShallowBehavior	oedit.c:475-526,1447-1466; utils.h:385-392	C resolves GET_OBJ_SCRIPT/OBJ_SCRIPT_FLAGS through obj_index[rnum], so object script edits are live before the object save and survive a discarded working copy (R1/R5e).
do_olc	oedit	oedit.disconnect-cleanup	D5	state	unit-green	TestOeditDisconnectCleanup	comm.c:2107-2119; olc.c:447-500	Disconnect cleanup drops the working copy without committing it, clears PLR_WRITING, and releases the duplicate reservation (R1/R4/R5e).
do_olc	oedit	oedit.duplicate-gate-race	D5	state	unit-green	TestOeditConcurrentEntryAdmitsExactlyOneEditor	src/olc.c:150-158	Concurrent oedit entry admits exactly one editor through an atomic reservation, mirroring do_olc's descriptor scan (R1/R3).
