handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	hop	hop.entry-gate	D1	command	unit-green	TestHopRegistrationUsesCEntryGate	interpreter.c:501; act.social.c:102-151; lib/misc/socials:400-408	The registered C row is POS_RESTING with no command minimum level; focused proof pins the zero hide/victim-position metadata and all eight authored messages.
do_action	hop	hop.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:501; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle.
do_action	hop	hop.no-argument	D2	audience	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:400-408	No argument emits the exact actor and room hippity-hop lines across the deterministic seed matrix.
do_action	hop	hop.one-argument	D2	command	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:114-121; lib/misc/socials:400-408	C one_argument selects the first target token after the fill word and ignores trailing words before lookup.
do_action	hop	hop.target-success	D3	audience	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:400-408	A visible target reaches the authored actor and target messages while the observer receives the TO_NOTVICT room line.
do_action	hop	hop.target-audience	D3	audience	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:400-408	The observer is distinct from the actor and target, proving C's room audience and exclusion topology with hide=0.
do_action	hop	hop.self-target	D2	audience	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:400-408	A self target selects the authored no-argument actor line and the authored self room line.
do_action	hop	hop.target-not-found	D1	command	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:400-408	An absent visible-room target receives the exact WHO? message and no audience act.
do_action	hop	hop.sleeping-target	D3	audience	oracle-green-multiseed	hop-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2397-2458; lib/misc/socials:400-408	The record's zero victim-position minimum permits the sleeping target branch, while C's victim act omits the target bytes because it lacks TO_SLEEP.
do_action	hop	hop.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix.
do_action	hop	hop.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Target lookup and recipient-specific visibility behavior use the shared social/Act matrix; hop's hide flag is zero.
