handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	pat	pat.entry-gate	D1	command	unit-green	TestPatRegistrationUsesCEntryGateAndRecord	interpreter.c:597; act.social.c:102-112; lib/misc/socials:550-558	The registered C row is POS_RESTING with no command minimum; the social record preserves hide 0, no victim-position restriction, and all eight authored messages (R1/R2/R5e).
do_action	pat	pat.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:597; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	pat	pat.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	pat	pat.no-argument	D2	command	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	No argument emits the exact Pat who?? actor prompt and the authored # room branch (R1/R3/R5e).
do_action	pat	pat.target-success	D3	audience	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	A visible player target receives the exact actor, observer, and victim pat messages (R1/R3/R5e).
do_action	pat	pat.target-audience	D3	audience	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The actor, target, and observer transcripts pin C's three target-success audiences, hide-invisible behavior, and substitutions (R1/R3/R5e).
do_action	pat	pat.argument-first-token	D2	command	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	C one_argument selects the first target token and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	pat	pat.mob-target	D3	audience	oracle-green-multiseed	pat-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	pat	pat.self-target	D2	audience	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:550-558	The named self target emits C's authored actor and room self-target messages (R1/R3/R5e).
do_action	pat	pat.target-not-found	D1	command	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:550-558	A missing visible-room target emits the exact authored direct-send refusal and no room act (R1/R3/R5e).
do_action	pat	pat.sleeping-target	D3	audience	oracle-green-multiseed	pat-depth@1,2,3,5,8	act.social.c:140-151; lib/misc/socials:550-558	The zero victim-position minimum admits a sleeping visible target and preserves the authored target-success actor, room, and victim bytes (R1/R3/R5e).
