handler	command	case_id	depth	scope	status	proof	c_site	notes
do_slug	slug	slug.entry-gate	D1	command	unit-green	TestSlugRegistrationUsesCEntryGate	interpreter.c:709;comm.c:910-947	The registered row requires level 1 at POS_FIGHTING, and the Go command registry preserves the authoritative C gate (R1/R2/R5e).
do_slug	slug	slug.position-gate	D1	shared	delegated	kick.position-gate	interpreter.c:709;comm.c:910-947	The common POS_FIGHTING dispatcher rejection is owned by the existing kick position-gate proof (R2/R5b/R5c).
do_slug	slug	slug.no-skill	D1	command	unit-green	TestDoSlug_GateOrderAndMessages	new_cmds.c:826-831	GET_SKILL zero returns the exact wet-paper-bag refusal before target lookup or RNG (R1/R5e).
do_slug	slug	slug.no-argument	D1	command	oracle-green-multiseed	slug-depth@1,2,3,5,8	new_cmds.c:826-840	An awake skilled actor without an argument or fighting target receives Slug who? (R1/R2/R3/R5e).
do_slug	slug	slug.target-missing	D1	command	oracle-green-multiseed	slug-depth@1,2,3,5,8	new_cmds.c:833-840	An unresolved named target reaches the same no-fighting fallback response (R1/R3/R5e).
do_slug	slug	slug.one-argument	D2	command	oracle-green-multiseed	slug-depth@1,2,3,5,8	interpreter.c:1265-1283;new_cmds.c:826,833-840	C one_argument resolves only the first target token and ignores trailing words (R1/R2/R3/R5e).
do_slug	slug	slug.self-target	D2	command	oracle-green-multiseed	slug-depth@1,2,3,5,8	new_cmds.c:842-845;handler.c:1276-1285	A visible self target reaches C's exact fist-and-nose refusal after lookup (R1/R3/R5e).
do_slug	slug	slug.fighting-fallback	D2	command	unit-green	TestCmdSlug_FallsBackToFightingTarget	new_cmds.c:833-840	Both an empty parsed name and an explicit lookup miss fall back to C's stored FIGHTING pointer (R1/R2/R5e).
do_slug	slug	slug.wielded-gate	D2	command	unit-green	TestDoSlug_GateOrderAndMessages	new_cmds.c:846-849	The WEAR_WIELD check runs after self-target and before mounted/RNG, with the exact bare-fist refusal (R1/R3/R5e).
do_slug	slug	slug.mounted-gate	D2	command	oracle-green	slug-mounted-depth@1	new_cmds.c:850-853;utils.c:378-385	A valid horse target reaches the post-lookup IS_MOUNTED refusal and exact Dismount first! bytes (R1/R5e).
do_slug	slug	slug.skill-message	D3	audience	unit-green	TestDoSlug_SkillMessageDrawOrder	fight.c:1023-1092;lib/misc/messages:350-364	Both outcome arms route player-facing bytes through C set 146; the focused test pins the attacker and room miss triplet (R1/R3/R4/R5e).
do_slug	slug	slug.room-audience	D3	audience	unit-green	TestDoSlug_SkillMessageDrawOrder	fight.c:1023-1092;comm.c:2392-2555	The set-146 room act is delivered through the shared room callback with the C audience wording (R1/R3/R5e).
do_slug	slug	slug.failure	D3	state	oracle-green-multiseed	slug-outcome-depth@1,2,3,5,8	new_cmds.c:861-865;fight.c:1023-1092;lib/misc/messages:350-364	The skill-75 opener reaches C's zero-damage miss arm and exact set-146 miss transcript across the seed matrix (R1/R3/R5e).
do_slug	slug	slug.success	D3	state	oracle-green-multiseed	slug-outcome-depth@1,2,3,5,8	new_cmds.c:866-870;fight.c:1023-1092;lib/misc/messages:350-364	The same opener reaches positive slug damage and exact set-146 hit variants without invented literals (R1/R3/R4/R5e).
do_slug	slug	slug.hit-result-contract	D4	state	unit-green	TestDoSlug_ResultContract	new_cmds.c:861-875;fight.c:1023-1092	The hit result carries level times the C half-step roll, set 146, damage skill, combat enrollment, and the two-pulse wait (R1/R3/R5e).
do_slug	slug	slug.miss-result-contract	D4	state	unit-green	TestDoSlug_ResultContract	new_cmds.c:861-875;fight.c:1023-1092	The miss carries zero damage, set 146, combat enrollment, the unconditional two-pulse wait, deferred improve_skill, and no invented messages (R1/R3/R4/R5e).
do_slug	slug	slug.draw-order	D5	state	unit-green	TestDoSlug_SkillMessageDrawOrder	new_cmds.c:861-870;fight.c:1023-1092	The shared RNG stream preserves C's percent number followed by set-146 skill-message dice before the post-damage improvement (R3/R5e).
do_slug	damage	slug.shared-damage-gates	D5	shared	delegated	combat-entry	new_cmds.c:861,866;fight.c:1314-1718	Peaceful/newbie/shopkeeper/follower/death behavior belongs to the verified shared damage-entry matrix; this slice supplies only slug's confirmed metadata and formula (R5b/R5c).
