handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	jeer	jeer.entry-gate	D1	command	unit-green	TestJeerRegistrationUsesCEntryGate	interpreter.c:522; act.social.c:102-151; lib/misc/socials:420-428	The registered C row is POS_RESTING with no command minimum level; the focused test pins the zero hide flag, zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	jeer	jeer.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:522; comm.c:910-947	The shared POS_RESTING dispatcher rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	jeer	jeer.no-argument	D2	audience	oracle-green-multiseed	jeer-depth@1,2,3,5,8	act.social.c:102-121; lib/misc/socials:420-428	No argument emits the exact actor line and ordinary room line across the seed matrix (R1/R3/R5e).
do_action	jeer	jeer.target-mob-room-audience	D3	audience	oracle-green-multiseed	jeer-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:420-428	A cleaner mob target exposes the actor and TO_NOTVICT peer room messages with exact $N substitution (R1/R3/R5e).
do_action	jeer	jeer.target-player-audience	D3	audience	oracle-green-multiseed	jeer-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:420-428	A visible player target receives the exact actor and victim lines; the shared TO_NOTVICT audience is separately exposed by the mob target (R1/R3/R5e).
do_action	jeer	jeer.argument-first-token	D2	command	oracle-green-multiseed	jeer-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:420-428	C one_argument skips the leading fill word and ignores trailing words before target lookup (R1/R3/R5e).
do_action	jeer	jeer.self-target	D2	audience	oracle-green-multiseed	jeer-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:420-428	A named self target emits the authored self actor line and no room line because others_auto is # (R1/R3/R5e).
do_action	jeer	jeer.target-not-found	D1	command	oracle-green-multiseed	jeer-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:420-428	An unresolved visible-room target emits the exact Smirk all you like. refusal (R1/R3/R5e).
do_action	jeer	jeer.sleeping-target	D3	audience	oracle-green-multiseed	jeer-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:420-428	The zero victim-position minimum admits a sleeping target; TO_SLEEP preserves the actor line while ordinary TO_VICT sends no sleeping-target bytes (R1/R3/R5e).
do_action	jeer	jeer.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the existing dance social matrix (R1/R5b/R5c).
do_action	jeer	jeer.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	The zero hide flag and shared CAN_SEE/Act audience behavior are owned by the social matrix (R1/R5b/R5c).
