handler	command	case_id	depth	scope	status	proof	c_site	notes
do_charge	charge	charge.no-skill	D1	command	unit-green	TestDoCharge_NoSkill	interpreter.c:377; new_cmds.c:887-895	GET_SKILL is checked before target lookup and returns the exact refusal for the normal command subcommand.
do_charge	charge	charge.no-arg	D1	command	oracle-green	charge-depth	new_cmds.c:887-899	An awake skilled caller with no argument and no fighting target receives the exact C target refusal.
do_charge	charge	charge.target-missing	D1	command	oracle-green	charge-depth	new_cmds.c:897-900	A missing target with no FIGHTING fallback receives Great! Fine! Charge who?!?!.
do_charge	charge	charge.fighting-target-fallback	D1	command	unit-green	TestCmdCharge_FightingTargetFallback	new_cmds.c:897-900	An empty argument while fighting resolves FIGHTING(ch) before the no-target refusal and reaches the weapon gate.
do_charge	charge	charge.self	D2	command	oracle-green	charge-depth	new_cmds.c:900-905	C resolves the named player through get_char_room_vis and emits the exact self-charge joke.
do_charge	charge	charge.one-argument	D1	command	oracle-green	charge-depth	interpreter.c:1265-1279; new_cmds.c:887	one_argument skips the fill word, lowercases the first target token, and ignores trailing words.
do_charge	charge	charge.no-weapon	D2	state	unit-green	TestDoCharge_NoWeapon	new_cmds.c:907-910	The WEAR_WIELD gate emits the exact barehanded sword-or-lance instruction.
do_charge	charge	charge.wrong-weapon	D2	state	unit-green	TestDoCharge_WrongWeaponType	new_cmds.c:911-916	Only object value 3 types 3 and 12 pass the sword/lance gate.
do_charge	charge	charge.mounted	D4	state	unit-green	TestDoCharge_MountedBonusDamage	new_cmds.c:917-925; 939-952	Mounted charge adds five to the chance percentage, adds 50 damage, does not sit the attacker, and still waits two violence pulses.
do_charge	charge	charge.nobash	D4	state	unit-green	TestDoCharge_MobNobashPenalty	new_cmds.c:925-927	MOB_NOBASH adds the C +25 penalty to the charge percentage before the shared probability comparison.
do_charge	charge	charge.failure	D5	state	oracle-green-multiseed	charge-failure-depth@1,2,3,5,8	new_cmds.c:928-936; fight.c:1023-1092; lib/misc/messages:366-378	The forced skill-1 failure proves set-147 miss bytes, zero-damage combat enrollment, unmounted sitting, and the two-pulse wait across five seeds.
do_charge	charge	charge.success	D5	state	oracle-green-multiseed	charge-depth@1,2,3,5,8	new_cmds.c:937-954; fight.c:1023-1092; lib/misc/messages:366-378	The legal sword opener proves set-147 hit bytes, wielded $p substitution, damage dice, combat enrollment, improvement ordering, and the two-pulse wait across five seeds.
do_charge	charge	charge.skill-message-contract	D5	state	unit-green	TestDoCharge_Success	fight.c:1023-1092; lib/misc/messages:366-378	Both result arms route through the numbered C skill-message set and carry no invented literal combat strings.
damage	charge	charge.damage-survival-draw	D5	shared	unit-green	TestDoSpellDamageChargePainDraw	fight.c:1534-1613	A surviving high-damage charge reaches damage()'s number(0,2) pain/scream draw even when the victim is an NPC without a descriptor.
do_charge	damage	charge.shared-damage-gates	D5	shared	delegated	combat-entry	fight.c:1336-1459	The common peaceful/newbie/shopkeeper/follower/death behavior belongs to the verified combat-entry matrix; charge only adds its confirmed damage-side draw bridge here.
