handler	command	case_id	depth	scope	status	proof	c_site	notes
do_skillset	skillset	skillset.entry-gate	D1	command	unit-green	TestSkillsetRegistrationUsesCEntryGates	interpreter.c:704; comm.c:910-947	The registered C row requires POS_SLEEPING and LVL_GRGOD; the focused registry test pins both gates under R1/R2/R5e.
do_skillset	skillset	skillset.no-argument	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:262-279	No target prints C's syntax and raw-index four-column spells list, including mixed line endings, under R1/R3/R5e.
do_skillset	skillset	skillset.target-not-found	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:282-285; handler.c:1263-1324	Visible-world miss returns C NOPERSON before parsing the remaining arguments under R1/R3/R5e.
do_skillset	skillset	skillset.skill-name-expected	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:287-291	A visible target with no remaining argument reaches the exact mixed-order C error under R1/R5e.
do_skillset	skillset	skillset.skill-not-quoted	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:292-295	A non-quote first byte reaches C's enclosure refusal before skill lookup under R1/R5e.
do_skillset	skillset	skillset.unterminated-quote	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:299-304	An opening quote without a closing quote reaches the exact enclosure refusal under R1/R5e.
do_skillset	skillset	skillset.unrecognized-skill	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:306-310; spell_parser.c:370-393	C lowercases the quoted input and rejects an unresolved find_skill_num result under R1/R3/R5e.
do_skillset	skillset	skillset.value-expected	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:312-315	A recognized quoted skill with no one_argument value reaches the exact learned-value error under R1/R5e.
do_skillset	skillset	skillset.value-negative	D2	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:316-319	A negative atoi result reaches the minimum learned-value refusal under R1/R3/R5e.
do_skillset	skillset	skillset.value-too-high	D2	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:320-323	A learned value above 100 reaches the maximum refusal before NPC/state mutation under R1/R3/R5e.
do_skillset	skillset	skillset.npc-target	D2	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:324-326	A visible ordinal mob target reaches the NPC rejection only after skill/value gates under R1/R3/R5e.
do_skillset	skillset	skillset.success	D4	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:328-341	A valid player mutation stores the resolved skill value and emits C's confirmation bytes under R1/R3/R5e.
do_skillset	skillset	skillset.multiword-success	D4	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:299-341; spell_parser.c:370-393	Quoted multiword input follows C token-prefix skill lookup and confirms the canonical spells[] display name under R1/R3/R5e.
do_skillset	skillset	skillset.self-alias	D4	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	handler.c:1284-1285; modify.c:282-341	The C get_char_room_vis self/me aliases select the actor and mutate that player under R1/R3/R5e.
do_skillset	skillset	skillset.room-name-abbreviation	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	handler.c:1277-1300; modify.c:282-285	In-room player keyword abbreviation reaches the same C target before the skill parser under R1/R2/R5e.
do_skillset	skillset	skillset.player-only-ordinal	D1	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	handler.c:1288-1290; modify.c:282-285	The 0.<name> player-only lookup is preserved before mutation under R1/R2/R5e.
do_skillset	skillset	skillset.atoi-leading-digits	D4	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:313-323	The first numeric prefix of the one_argument token controls the stored value, matching C atoi under R1/R3/R5e.
do_skillset	skillset	skillset.atoi-first-token	D4	command	oracle-green-multiseed	skillset-depth@1,2,3,5,8	modify.c:312-317	Trailing value words are not parsed after C one_argument; only the first token reaches atoi under R1/R2/R3/R5e.
