handler	command	case_id	depth	scope	status	proof	c_site	notes
do_olc	redit	redit.nonnumeric-argument	D1	command	oracle-green-multiseed	redit-entry-depth@1,2,3,5,8	interpreter.c:656; olc.c:80-145	Nonnumeric input reaches C's safety response byte-for-byte across the focused seed matrix (R1/R2/R5e).
do_olc	redit	redit.unknown-zone	D1	command	oracle-green-multiseed	redit-entry-depth@1,2,3,5,8	olc.c:148-175	Numeric input outside every real zone reaches C's exact unknown-zone response, including state cleanup (R1/R2/R4/R5e).
do_olc	redit	redit.no-argument-current-room	D2	command	oracle-green-multiseed	redit-entry-depth@1,2,3,5,8	olc.c:102-115,228-239	An empty argument selects the actor's current room and emits the C REDIT main menu (R1/R2/R5e).
do_olc	redit	redit.interactive-olc	D3	state	oracle-green-multiseed	redit-entry-depth@1,2,3,5,8	redit.c:65-73,78-92,648-664; interpreter.c:1723-1731	A valid room enters the descriptor-owned editor and routes later lines through its menu state, matching C (R1/R2/R4/R5e).
do_olc	redit	redit.main-invalid	D2	command	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:673-709	Invalid main-menu input preserves C's contiguous error/menu response (R1/R2/R5e).
do_olc	redit	redit.description-editor	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:684-693; improved-edit.c:27-85,105-123	Room description editing uses the C improved editor, including help, blank input, save, and abort return behavior (R1/R3/R4/R5e).
do_olc	redit	redit.flags	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:111-138,302-337,673-709	Room flag menu formatting, invalid selection, bit toggle, and return path match C (R1/R2/R4/R5e).
do_olc	redit	redit.sector	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:339-363,673-709	Sector menu and selection preserve C's table, prompt, and state transition (R1/R2/R4/R5e).
do_olc	redit	redit.exit	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:365-505,673-709; improved-edit.c:27-85,105-123	Exit identity, target validation, description editor, keywords, key, door flags, purge, and menu prompts match the C path (R1/R2/R4/R5e).
do_olc	redit	redit.extra-description	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:507-646,673-709; improved-edit.c:27-85,105-123	Extra-description creation, completion gating, editor abort/save, and removal behavior match the C linked-list path (R1/R2/R4/R5e).
do_olc	redit	redit.copy	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:673-709	Room name/description copy preserves the C source-room lookup and return menu (R1/R4/R5e).
do_olc	redit	redit.script	D4	state	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	redit.c:624-646; olc.c:228-239	Existing-room script name/flag editing follows C's live shallow-script authority and menu transitions; new-room script assignment remains C-rejected (R1/R2/R4/R5e).
do_olc	redit	redit.activity-audience	D3	audience	oracle-green-multiseed	redit-boundaries-depth@1,2,3,5,8	olc.c:163-193; redit.c:65-73; cleanup_olc	Room-editor start/stop activity reaches the co-located observer with C's actor-excluding audience behavior (R1/R3/R5e).
do_olc	redit	redit.entry-gate	D1	command	unit-green	TestReditRegistrationUsesCEntryGate	interpreter.c:656; interpreter.c command table	The registered command carries C's POS_DEAD and LVL_IMMORT entry gate (R1/R2/R5e).
do_olc	redit	redit.working-copy	D4	state	unit-green	TestReditWorkingCopySaveAndAbort	redit.c:65-92,673-709	Working edits remain descriptor-local until C's save confirmation, and abort leaves the live room unchanged (R1/R4/R5e).
do_olc	redit	redit.persistence-restart	D5	state	unit-green	TestReditNewRoomCommitAndDiskSave	redit.c:283-394,424-440	A new room commits to the live parsed world, is written in C .wld form, and is parsed back after a restart boundary (R1/R4/R5e).
do_olc	redit	redit.disconnect-cleanup	D5	state	unit-green	TestReditDisconnectDropsWorkingStringEditor	comm.c:2107-2119; olc.c:447-500	Disconnect cleanup drops an active room string buffer without committing it or leaving PLR_WRITING set (R1/R4/R5e).
do_olc	redit	redit.overlap-web-admin	D5	state	unit-green	TestReditWorkingCopySurvivesOverlappingAdminWrite	redit.c:65-92,424-440; pkg/game/world_write.go:165-178	A live external room write remains visible while the separate REDIT working copy is later discarded (the HTTP admin write path this originally named was removed in PR #1502; the scenario now drives the same concurrent write through the game layer); publication uses the same locked copy-on-write boundary (R1/R3/R4/R5e).
do_olc	redit	redit.world-publication-race	D5	state	unit-green	TestReditWorldPublicationConcurrentSnapshots	world snapshot and writer paths	Concurrent REDIT publication, web-admin room writes, script writes, and lock-free readers complete without race reports while each snapshot remains structurally valid (R1/R3/R4/R5e).
do_olc	redit	redit.menu-colors-on-raw	D4	state	oracle-green-multiseed	redit-menu-color-on@1,2,3,5,8	src/olc.c:416; src/screen.h:32-56; src/redit.c:438-665	OLC menus embed get_char_cols ANSI (grn/nrm/cyn/yel) at color level >= 2; keep-ansi compares the raw escape bytes themselves, with creation answering Y to the ANSI question (R1/R5a).
do_olc	redit	redit.menu-colors-off-raw	D4	state	oracle-green-multiseed	redit-menu-color-off@1,2,3,5,8	src/olc.c:416; src/screen.h:40,50-56; src/redit.c:438-665	With color off every menu byte is plain; keep-ansi proves the port neither drops nor invents escape bytes at color level 0 (R1/R4).
do_olc	redit	redit.duplicate-gate-race	D5	state	unit-green	TestReditConcurrentEntryAdmitsExactlyOneEditor	src/olc.c:150-158	Concurrent redit entry admits exactly one editor through an atomic reservation; disconnect and clean-quit paths both release it (R1/R3).
do_olc	redit	redit.routine-exit-mutation	D5	state	unit-green	TestRoutineMutationSkipsStructuralRebuild	pkg/game/world_redit.go; src/act.movement.c door paths	Routine door EX_ writes publish per-room copy-on-write without the structural rebuild; runtime door state survives later structural commits; cost measured on the real ~10k-room world in world_redit_bench_test.go (R1/R3/R5a).
do_olc	redit	redit.persistence-real-restart	D5	state	unit-green	TestReditSaveSurvivesRealRestart	src/redit.c:283-394; src/db.c boot path	A saved zone survives an actual fresh boot (ParseWorld + NewWorld, the cmd/server path); edited name, description, exit target/keywords/key/door flags, and extra desc are revisited through a new session's look state (R1/R4/R5f).
