handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kuji_kiri	kyo	kyo.entry-gate	D1	command	unit-green	TestKyoRegistrationUsesCEntryGate	interpreter.c:530; new_cmds.c:1552-1554	The registered C row requires no level minimum at POS_STANDING; the focused test pins the authoritative gate and Go registration (R2/R5e).
do_kuji_kiri	kyo	kyo.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:530; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing flip position-gate vehicle (R2/R5b/R5c).
do_kuji_kiri	kyo	kyo.class-gate	D1	shared	delegated	jin.class-gate	new_cmds.c:1557-1560	The shared non-Ninja mortal early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kyo	kyo.fighting-gate	D1	shared	delegated	jin.fighting-gate	new_cmds.c:1562-1565	The shared FIGHTING early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kyo	kyo.lockout-gate	D1	shared	delegated	jin.lockout-gate	new_cmds.c:1567-1570	The shared aggregate AFF_KUJI_KIRI early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kyo	kyo.mounted-gate	D1	shared	delegated	jin.mounted-gate	new_cmds.c:1572-1575	The shared mounted early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kyo	kyo.mastery-gate	D1	shared	delegated	jin.mastery-gate	new_cmds.c:1577-1598	The shared pre-mastery branch and its C-order success draw are owned by the Jin kuji-kiri proof (R3/R5b/R5c).
do_kuji_kiri	kyo	kyo.skill-slot	D4	state	delegated	kai.skill-slot	spell_parser.c:1150-1170; new_cmds.c:1500-1541	The class-wide kuji skill-catalog boundary is owned by the Kai proof; Kyo uses SkillKkKyo through the same translation (R1/R5b/R5c).
do_kuji_kiri	kyo	kyo.success-actor-and-room	D3	audience	oracle-green-multiseed	kyo-depth@1,2,3,5,8	new_cmds.c:1619-1628; 1697-1710; comm.c:2392-2555	A learned Kyo emits the exact battle-rage actor text and default meditation room act across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	kyo	kyo.success-lockout	D3	state	oracle-green-multiseed	kyo-depth@1,2,3,5,8	new_cmds.c:1567-1570; 1697-1710	A successful Kyo's second use reaches the aggregate AFF_KUJI_KIRI lockout with no extra room bytes across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	kyo	kyo.success-affects	D4	state	unit-green	TestDoKujiKiri_KyoSuccessPreservesTwoCRecords	new_cmds.c:1619-1628; 1697-1710; handler.c:473-499	Successful Kyo preserves separate APPLY_HITROLL +1 and default APPLY_SPELL lockout records, both carrying AFF_KUJI_KIRI (R3/R5e).
do_kuji_kiri	kyo	kyo.failure-actor-and-room	D3	audience	oracle-green	kyo-failure-depth@1	new_cmds.c:1713-1729; comm.c:2392-2555	At skill 1, seed 1 reaches the failure arm with exact generic actor failure text and unchanged meditation room act (R1/R3/R5e).
do_kuji_kiri	kyo	kyo.failure-lockout	D3	state	oracle-green	kyo-failure-depth@1	new_cmds.c:1567-1570; 1713-1729	After a failed Kyo, changing the skill and retrying reaches C's aggregate lockout because the failed primary hitroll record remains AFF_KUJI_KIRI (R1/R3/R5e).
do_kuji_kiri	kyo	kyo.failure-affects	D4	state	unit-green	TestDoKujiKiri_KyoFailureKeepsPrimaryLockout	new_cmds.c:1713-1729; handler.c:473-499	Failed Kyo preserves separate zeroed hitroll lockout and APPLY_SPELL AFF_NOTHING records; the primary record keeps the aggregate lockout (R3/R5e).
