handler	command	case_id	depth	scope	status	proof	c_site	notes
do_parry	parry	parry.entry-gate	D1	command	unit-green	TestParryRegistrationUsesCEntryGate	interpreter.c:600; new_cmds.c:2340-2348	The registered command row is available at POS_DEAD and level 0, matching the C table before do_parry's learned-skill gate (R1/R2/R5e).
do_parry	parry	parry.no-skill	D1	command	oracle-green-multiseed	parry-gates-depth@1,2,3,5,8	new_cmds.c:2344-2348	An unlearned player receives the exact swordplay refusal and no later combat branch runs (R1/R3/R5e).
do_parry	parry	parry.not-fighting	D1	command	oracle-green-multiseed	parry-entry-depth@1,2,3,5,8	new_cmds.c:2350-2352	The command ignores its typed argument and checks the actor's current FIGHTING pointer, preserving the exact no-opponent response (R1/R2/R3/R5e).
do_parry	parry	parry.mutual-fighting-gate	D1	command	unit-green	TestCmdParryEntryMessages	new_cmds.c:2353-2356	A stale one-way fighting state reaches C's misspelled noone's-attacking-you response before equipment or RNG (R1/R5e).
do_parry	parry	parry.no-wield	D1	command	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2358-2362	A mutual fight without WEAR_WIELD emits the exact unarmed response and consumes no outcome roll (R1/R3/R5e).
do_parry	parry	parry.failure-message	D2	command	oracle-green-multiseed	parry-failure-depth@1,2,3,5,8	new_cmds.c:2364-2375	The manual skill arm draws number(1,101) and emits the exact outmaneuvered text on failure (R1/R3/R5e).
do_parry	parry	parry.failure-improve-skill	D5	state	oracle-green-multiseed	parry-failure-depth@1,2,3,5,8	new_cmds.c:2364-2375	Manual failure calls improve_skill, preserving the C learning side effect and subsequent deterministic combat stream (R1/R3/R5e).
do_parry	parry	parry.failure-wait-state	D4	state	oracle-green-multiseed	parry-failure-depth@1,2,3,5,8	new_cmds.c:2364-2375	Manual failure sets WAIT_STATE(ch, PULSE_VIOLENCE * 3), proven through the padded next combat pulse (R1/R3/R5e).
do_parry	parry	parry.success-actor	D2	command	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2377-2389	A successful manual roll sends the exact direct defensive-position line to the actor (R1/R3/R5e).
do_parry	parry	parry.success-victim	D3	audience	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2379-2385; comm.c:2434-2555	The victim-side TO_VICT act receives the exact every-blow line while the mob remains the combat victim (R1/R3/R5e).
do_parry	parry	parry.success-observer	D3	audience	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2379-2385; comm.c:2434-2555	The TO_ROOM act reaches a separate awake observer with C capitalization and CRLF delivery (R1/R3/R5e).
do_parry	parry	parry.argument-ignored	D2	command	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2340-2389	The arbitrary trailing words do not select a target; do_parry follows the actor's FIGHTING pointer exactly (R1/R2/R3/R5e).
do_parry	parry	parry.wait-state	D4	state	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2387-2389	Manual success sets WAIT_STATE(ch, PULSE_VIOLENCE * 2), and the next padded pulse is delayed accordingly (R1/R3/R5e).
do_parry	parry	parry.marker-consumption	D5	state	oracle-green-multiseed	parry-depth@1,2,3,5,8	new_cmds.c:2386; fight.c:1999-2007	Success marks the opponent IS_PARRIED and the following combat round consumes the one-round defense adjustment (R1/R3/R5e).
do_parry	parry	parry.special-subcmd	D4	shared	delegated	mob.fighter-parry	new_cmds.c:2340-2389; spec_procs.c:509-535	The autonomous fighter special calls the same native do_parry with subcmd=1 and is already owned by mob.fighter-parry; this player-command slice does not duplicate it (R5b/R5c).
