handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	rofl	rofl.entry-gate	D1	command	unit-green	TestRoflRegistrationUsesCEntryGate	interpreter.c:663; act.social.c:102-118; lib/misc/socials:1247-1255	The registered C row is POS_RESTING with no command minimum level; the focused test pins the entry gate and complete rofl record metadata (R1/R2/R5e).
do_action	rofl	rofl.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:663; comm.c:910-947	The shared POS_RESTING command rejection is already proven by the social position-gate vehicle (R5b/R5c).
do_action	rofl	rofl.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before the social record path and is owned by the social boundary (R5b/R5c).
do_action	rofl	rofl.no-argument	D3	audience	oracle-green-multiseed	rofl-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:1247-1255	No argument emits the exact actor and visible room rofl lines (R1/R3/R5e).
do_action	rofl	rofl.argument-first-token	D2	command	oracle-green-multiseed	rofl-depth@1,2,3,5,8	act.social.c:119-132; lib/misc/socials:1247-1255	one_argument selects Rofltarget and ignores trailing words before target lookup (R1/R2/R3/R5e).
do_action	rofl	rofl.target-success	D3	audience	oracle-green-multiseed	rofl-depth@1,2,3,5,8	act.social.c:128-151; lib/misc/socials:1247-1255	A resting visible target reaches the authored actor, other-room, and victim rofl templates with C substitutions (R1/R3/R5e).
do_action	rofl	rofl.target-audience	D3	audience	oracle-green-multiseed	rofl-depth@1,2,3,5,8	act.social.c:128-151; comm.c:2392-2555	The target arm routes distinct actor, other-room, and victim bytes to the three audiences (R1/R3/R5e).
do_action	rofl	rofl.self-target	D2	audience	unit-green	TestDoRoflSelfTargetUsesCCharAutoBytes	act.social.c:134-140; lib/misc/socials:1247-1255	C sends char_auto directly with send_to_char, preserving the authored literal $n/$mself tokens; the focused regression pins those bytes (R1/R5e).
do_action	rofl	rofl.target-not-found	D1	command	oracle-green-multiseed	rofl-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1247-1255	An unresolved visible-room target emits the authored char_not-found response (R1/R5e).
do_action	rofl	rofl.sleeping-target	D2	command	oracle-green-multiseed	rofl-sleeping-depth@1,2,3,5,8	act.social.c:128-135; lib/misc/socials:1247-1255	A target below min_victim_position=POS_RESTING is refused before the social target trio (R1/R3/R5e).
