handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	highfive	highfive.entry-gate	D1	command	unit-green	TestHighfiveRegistrationUsesCEntryGate	interpreter.c:494; act.social.c:102-151; lib/misc/socials:380-388	The command row is POS_RESTING with no command-level restriction; the focused test pins the separate social hide/victim metadata and all authored messages.
do_action	highfive	highfive.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:494; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle.
do_action	highfive	highfive.no-argument	D2	audience	oracle-green	highfive-depth	act.social.c:102-127; lib/misc/socials:380-388	No argument emits the authored air highfive actor line and room line.
do_action	highfive	highfive.argument-first-token	D2	command	oracle-green	highfive-depth	act.social.c:123-151; lib/misc/socials:380-388	Only the first argument token is target syntax; trailing words do not alter the successful target branch.
do_action	highfive	highfive.target-success	D3	audience	oracle-green	highfive-depth	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:380-388	A standing visible target receives actor, non-victim observer, and victim bytes with hide-invisible semantics.
do_action	highfive	highfive.target-audience	D3	audience	oracle-green	highfive-depth	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:380-388	The observer excludes the victim while the victim receives the dedicated $n highfive line.
do_action	highfive	highfive.self-target	D2	audience	oracle-green	highfive-depth	act.social.c:134-140; lib/misc/socials:380-388	A self target selects the authored actor self line; the matching room self line is also proven.
do_action	highfive	highfive.target-not-found	D1	command	oracle-green	highfive-depth	act.social.c:128-132; lib/misc/socials:380-388	A missing target emits the exact C not-found message before any audience act.
do_action	highfive	highfive.sleeping-target	D2	command	oracle-green	highfive-sleeping-depth	act.social.c:140-143; lib/misc/socials:380-388	The social's minimum victim position 5 rejects a sleeping visible target with the canonical proper-position bytes.
do_action	highfive	highfive.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal is owned by the dance social matrix.
do_action	highfive	highfive.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	The social hide-invisible flag and shared Act audience behavior are covered by the social matrix.
