handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kuji_kiri	kai	kai.entry-gate	D1	command	unit-green	TestKaiRegistrationUsesCEntryGate	interpreter.c:527; new_cmds.c:1552-1554	The registered C row requires no level minimum at POS_STANDING; the focused test pins the authoritative gate and Go registration (R2/R5e).
do_kuji_kiri	kai	kai.position-gate	D1	shared	delegated	flip.position-gate	interpreter.c:527; comm.c:910-947	The shared POS_STANDING command-interpreter rejection is owned by the existing flip position-gate vehicle (R2/R5b/R5c).
do_kuji_kiri	kai	kai.class-gate	D1	shared	delegated	jin.class-gate	new_cmds.c:1557-1560	The shared non-Ninja mortal early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kai	kai.fighting-gate	D1	shared	delegated	jin.fighting-gate	new_cmds.c:1562-1565	The shared FIGHTING early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kai	kai.lockout-gate	D1	shared	delegated	jin.lockout-gate	new_cmds.c:1567-1570	The shared aggregate AFF_KUJI_KIRI early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kai	kai.mounted-gate	D1	shared	delegated	jin.mounted-gate	new_cmds.c:1572-1575	The shared mounted early return is owned by the Jin kuji-kiri gate proof (R1/R5b/R5c).
do_kuji_kiri	kai	kai.mastery-gate	D1	shared	delegated	jin.mastery-gate	new_cmds.c:1577-1598	The shared pre-mastery branch and its C-order success draw are owned by the Jin kuji-kiri proof (R3/R5b/R5c).
do_kuji_kiri	kai	kai.skill-slot	D4	state	unit-green	TestSkillStorageName_AllKujiSealsUseCommandSkillKeys	spell_parser.c:1150-1170; new_cmds.c:1500-1541	The C catalog labels all nine kuji slots as kuji-kiri <seal>, while the handlers read SkillKk* keys; the class-wide boundary test pins every translation (R1/R5e).
do_kuji_kiri	kai	kai.success-actor-and-room	D3	audience	oracle-green-multiseed	kai-depth@1,2,3,5,8	new_cmds.c:1618-1693; comm.c:2392-2555	A learned Kai emits the exact fortress actor text and meditation room act across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	kai	kai.success-lockout	D3	state	oracle-green-multiseed	kai-depth@1,2,3,5,8	new_cmds.c:1567-1570; 1697-1729	A successful Kai's second use reaches the aggregate AFF_KUJI_KIRI lockout with no extra room bytes across the required seed matrix (R1/R3/R5e).
do_kuji_kiri	kai	kai.success-affects	D4	state	unit-green	TestDoKujiKiri_KaiSuccessPreservesTwoCRecords	new_cmds.c:1628-1643; 1697-1710; handler.c:473-499	Successful Kai preserves C's separate APPLY_DAMROLL -1 and APPLY_AC -10 records, both carrying AFF_KUJI_KIRI (R3/R5e).
do_kuji_kiri	kai	kai.failure-actor-and-room	D3	audience	oracle-green	kai-failure-depth@1	new_cmds.c:1713-1729; comm.c:2392-2555	At skill 1, seed 1 reaches the failure arm with exact actor failure text and unchanged meditation room act (R1/R3/R5e).
do_kuji_kiri	kai	kai.failure-lockout	D3	state	oracle-green	kai-failure-depth@1	new_cmds.c:1567-1570; 1713-1729	After a failed Kai, changing the skill and retrying reaches C's aggregate lockout because the failed primary record remains at APPLY_DAMROLL (R1/R3/R5e).
do_kuji_kiri	kai	kai.failure-affects	D4	state	unit-green	TestDoKujiKiri_KaiFailureKeepsPrimaryLockout	new_cmds.c:1713-1729; handler.c:473-499	Failed Kai preserves separate zeroed damroll lockout and AC AFF_NOTHING records; the primary record keeps the aggregate lockout, so retry is rejected (R3/R5e).
