handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	nudge	nudge.entry-gate	D1	command	unit-green	TestNudgeRegistrationUsesCEntryGateAndRecord	interpreter.c:582; act.social.c:102-112; lib/misc/socials:530-539	The registered C row is POS_RESTING with no command minimum; the social record preserves level 0, hide 0, the default zero victim-position minimum, and all eight authored messages (R1/R2/R5e).
do_action	nudge	nudge.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:582; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing fade position-gate vehicle (R2/R5b/R5c).
do_action	nudge	nudge.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary (R1/R5b/R5c).
do_action	nudge	nudge.no-argument	D2	command	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:119-130; lib/misc/socials:530-539	No argument emits the exact actor Nudge prompt and the authored # room branch (R1/R3/R5e).
do_action	nudge	nudge.target-success	D3	audience	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:530-539	A visible player target receives the exact actor, observer, and victim nudge messages (R1/R3/R5e).
do_action	nudge	nudge.target-audience	D3	audience	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:530-539	The actor, target, and observer transcripts pin C's three target-success audiences and substitutions (R1/R3/R5e).
do_action	nudge	nudge.argument-first-token	D2	command	oracle-green-multiseed	nudge-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:530-539	C one_argument selects the first target token and ignores trailing words before visible target lookup (R1/R2/R3/R5e).
do_action	nudge	nudge.mob-target	D3	audience	oracle-green-multiseed	nudge-depth@1,2,3,5,8	handler.c:1276-1300; act.social.c:128-151	The registered vehicle resolves the visible guard-trainee NPC through get_char_room_vis and preserves the authored social audience bytes (R1/R3/R5e).
do_action	nudge	nudge.self-target	D2	audience	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:530-539	The named self target emits C's authored actor and room self-target messages (R1/R3/R5e).
do_action	nudge	nudge.target-not-found	D1	command	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:530-539	A missing visible-room target emits the exact authored direct-send refusal and no room act (R1/R3/R5e).
do_action	nudge	nudge.sleeping-target	D3	audience	oracle-green-multiseed	nudge-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:530-539	The zero victim-position minimum admits a sleeping visible target; the actor receives the authored target line while sleeper delivery is suppressed by TO_VICT (R1/R3/R5e).
