# Generated by cmd/dp-string-census (make string-census-update). Do not edit by hand.
# C player-facing segments no Go segment contains (port gaps).
# columns: segment	file:line	sink	function
exclaims, '	src/act.comm.c:689	buffered:sprintf	do_race_say
states, '	src/act.comm.c:695	buffered:sprintf	do_race_say
exclaims, '(In	src/act.comm.c:708	buffered:sprintf	do_race_say
asks, '(In	src/act.comm.c:712	buffered:sprintf	do_race_say
states, '(In	src/act.comm.c:716	buffered:sprintf	do_race_say
says, '(In	src/act.comm.c:720	buffered:sprintf	do_race_say
You exclaim, '(In	src/act.comm.c:732	buffered:sprintf	do_race_say
You ask, '(In	src/act.comm.c:736	buffered:sprintf	do_race_say
You state, '(In	src/act.comm.c:740	buffered:sprintf	do_race_say
exclaims, '	src/act.comm.c:788	buffered:sprintf	do_say
states, '	src/act.comm.c:794	buffered:sprintf	do_say
You exclaim '	src/act.comm.c:808	buffered:sprintf	do_say
You state '	src/act.comm.c:812	buffered:sprintf	do_say
You say '	src/act.comm.c:814	buffered:sprintf	do_say
tells the group, '	src/act.comm.c:843	buffered:sprintf	do_gsay
You cannot write anything!	src/act.comm.c:1039	send_to_char	do_write
You have no	src/act.comm.c:1049	buffered:sprintf	do_write
You have no	src/act.comm.c:1054	buffered:sprintf	do_write
in your inventory.	src/act.comm.c:1060	buffered:sprintf	do_write
That thing has nothing to do with writing.	src/act.comm.c:1068	send_to_char	do_write
The stuff in your hand is invisible! Yeech!!	src/act.comm.c:1079	send_to_char	do_write
is no good for writing with.	src/act.comm.c:1091	act	do_write
There's something written on it already.	src/act.comm.c:1095	send_to_char	do_write
Write your note. End with '@' on a new line.	src/act.comm.c:1098	send_to_char	do_write
begins to jot down a note.	src/act.comm.c:1099	act	do_write
Monsters can't page.. go away.	src/act.comm.c:1115	send_to_char	do_page
? Yes, fine,	src/act.comm.c:1321	buffered:sprintf	do_qcomm
we must, but WHAT??	src/act.comm.c:1321	buffered:sprintf	do_qcomm
&WYou quest-say, '	src/act.comm.c:1334	buffered:sprintf	do_qcomm
quest-says, '	src/act.comm.c:1341	buffered:sprintf	do_qcomm
thinks about life, the universe, and everything.	src/act.comm.c:1363	buffered:sprintf	do_think
thinks . o O (	src/act.comm.c:1375	buffered:sprintf	do_think
+-----+-----+-----+-----+-----+-----+-----	src/act.display.c:294	buffered:sprintf	IB_Seperator
+-----+-----+-----+-----+-----+	src/act.display.c:295	buffered:sprintf	IB_Seperator
Hit Pts:	src/act.display.c:306	buffered:sprintf	IB_HitPointsStr
Mana Pts:	src/act.display.c:384	buffered:sprintf	IB_ManaPointsStr
Move Pts:	src/act.display.c:461	buffered:sprintf	IB_MovePointsStr
Needed for Level	src/act.display.c:587	buffered:sprintf	IB_NeededExpPointsStr
There is something written upon it:	src/act.informative.c:111	buffered:strcpy	show_obj_to_char
It's blank.	src/act.informative.c:116	act	show_obj_to_char
You see nothing special..	src/act.informative.c:120	buffered:strcpy	show_obj_to_char
(invisible)	src/act.informative.c:129	buffered:strcat	show_obj_to_char
blue glow	src/act.informative.c:137	buffered:strcat	show_obj_to_char
yellow glow	src/act.informative.c:148	buffered:strcat	show_obj_to_char
(humming)	src/act.informative.c:167	buffered:strcat	show_obj_to_char
(covered)	src/act.informative.c:173	buffered:strcat	show_obj_to_char
There is something written upon it:	src/act.informative.c:203	buffered:strcpy	show_mult_obj_to_char
It's blank.	src/act.informative.c:208	act	show_mult_obj_to_char
You see nothing special..	src/act.informative.c:212	buffered:strcpy	show_mult_obj_to_char
(invisible)	src/act.informative.c:220	buffered:strcat	show_mult_obj_to_char
(red glow)	src/act.informative.c:222	buffered:strcat	show_mult_obj_to_char
(blue glow)	src/act.informative.c:224	buffered:strcat	show_mult_obj_to_char
(glowing)	src/act.informative.c:226	buffered:strcat	show_mult_obj_to_char
(humming)	src/act.informative.c:228	buffered:strcat	show_mult_obj_to_char
Nothing.	src/act.informative.c:286	send_to_char	list_obj_to_char
Nothing.	src/act.informative.c:349	send_to_char	list_obj_in_heap
is in excellent condition.	src/act.informative.c:367	buffered:strcat	diag_char_to_char
has a few scratches.	src/act.informative.c:369	buffered:strcat	diag_char_to_char
has some small wounds and bruises.	src/act.informative.c:371	buffered:strcat	diag_char_to_char
has quite a few wounds.	src/act.informative.c:373	buffered:strcat	diag_char_to_char
has some big nasty wounds and scratches.	src/act.informative.c:375	buffered:strcat	diag_char_to_char
looks pretty hurt.	src/act.informative.c:377	buffered:strcat	diag_char_to_char
is in awful condition.	src/act.informative.c:379	buffered:strcat	diag_char_to_char
is bleeding awfully from big wounds.	src/act.informative.c:381	buffered:strcat	diag_char_to_char
You see nothing special about	src/act.informative.c:397	act	look_at_char
hand is a	src/act.informative.c:404	buffered:sprintf	look_at_char
right arm is a tattoo	src/act.informative.c:415	buffered:sprintf	look_at_char
Looking at	src/act.informative.c:422	buffered:sprintf	look_at_char
closely, you see two white fangs --	src/act.informative.c:422	buffered:sprintf	look_at_char
is a vampire!	src/act.informative.c:422	buffered:sprintf	look_at_char
May the gods have mercy --	src/act.informative.c:428	buffered:sprintf	look_at_char
is a werewolf!	src/act.informative.c:428	buffered:sprintf	look_at_char
You notice	src/act.informative.c:433	buffered:sprintf	look_at_char
skin has a metallic hue!	src/act.informative.c:433	buffered:sprintf	look_at_char
's throat has been slit from ear to ear!	src/act.informative.c:438	buffered:sprintf	look_at_char
is using:	src/act.informative.c:451	act	look_at_char
You attempt to peek at	src/act.informative.c:467	act	look_at_char
inventory:	src/act.informative.c:467	act	look_at_char
Your soul (burning)	src/act.informative.c:472	send_to_char	look_at_char
(Red Aura)	src/act.informative.c:521	buffered:strcat	list_one_char
(Blue Aura)	src/act.informative.c:523	buffered:strcat	list_one_char
is surrounded by a black aura!	src/act.informative.c:531	act	list_one_char
glows with a bright light!	src/act.informative.c:534	act	list_one_char
is groping around blindly!	src/act.informative.c:537	act	list_one_char
is surrounded by a glowing sphere!	src/act.informative.c:539	act	list_one_char
is engulfed in flames!	src/act.informative.c:542	act	list_one_char
(invisible)	src/act.informative.c:555	buffered:strcat	list_one_char
(hidden)	src/act.informative.c:557	buffered:strcat	list_one_char
(linkless)	src/act.informative.c:559	buffered:strcat	list_one_char
(writing)	src/act.informative.c:561	buffered:strcat	list_one_char
is here, mounted on	src/act.informative.c:569	buffered:strcat	list_one_char
thin air	src/act.informative.c:577	buffered:strcat	list_one_char
