handler	command	case_id	depth	scope	status	proof	c_site	notes
do_tiger_punch	tiger	tiger.no-target	D2	command	oracle-green	god-skill-keys	src/act.offensive.c:693-719	Skill, then bare hands, then the victim (the argument, else FIGHTING), else 'Hit who?'; the port said 'Tiger punch whom?' and checked the weapon after the target. dragon kick now also falls back to FIGHTING when the argument names no one.
do_tiger_punch	tiger	tiger.miss	D5	state	oracle-green-multiseed	tiger-depth@1,2,3,5,8	act.offensive.c:735-737; fight.c:1023-1092; lib/misc/messages:1284-1298	The forced skill-1 arm proves set-189 miss_msg, zero-damage combat enrollment, and the unconditional two-pulse wait.
do_tiger_punch	tiger	tiger.hit	D5	state	oracle-green-multiseed	tiger-success-depth@1,2,3,5,8	act.offensive.c:735-741; fight.c:1023-1092; lib/misc/messages:1284-1298	AC 80 with skill 100 makes the roll deterministic: set-189 hit_msg, level*2.5 damage, and the post-message improvement.
do_tiger_punch	tiger	tiger.killing-blow	D5	state	oracle-green-multiseed	tiger-kill-depth@1,2,3,5,8	act.offensive.c:735-741; fight.c:1484-1534,1638-1660	A 1-HP trainee drives POS_DEAD before skill_message: set-189 die_msg, XP before the death cry, and no invented corpse announcement.
do_tiger_punch	tiger	tiger.god	D5	state	oracle-green-multiseed	tiger-god-depth@1,2,3	act.offensive.c:735-741; fight.c:1039-1044	The immortal victim is tested before the dam split, so the zero-damage arm still emits god_msg to actor, victim, and room.
do_tiger_punch	tiger	tiger.damage-formula	D4	state	unit-green	TestDoTigerPunch_HitContract	act.offensive.c:738; src/spells.h:237	Successful damage is the C integer conversion of GET_LEVEL(ch)*2.5, with level 20 producing 50.
do_tiger_punch	tiger	tiger.skill-message-contract	D4	state	unit-green	TestDoTigerPunch_MissRoutesThroughSkillMessage	act.offensive.c:735-737; fight.c:1023-1092	Both arms carry set 189 through the damage() boundary and emit no invented literal combat string.
do_tiger_punch	tiger	tiger.draw-order	D5	state	unit-green	TestSendSkillResult_TigerPunchSuccess_DrawOrderMatchesC	act.offensive.c:735-741; fight.c:1023-1092	The shared stream is the tiger percent number, then the set-189 dice at the damage boundary, then the deferred improve draws.
do_tiger_punch	tiger	tiger.color-framing	D4	state	unit-green	TestSkillMessageColorFramingAtCMP	fight.c:1049-1057,1080-1088; screen.h:44-46	At C_CMP skill_message writes CCYEL/CCNRM around the attacker line and CCRED/CCNRM around the victim line; the room act stays uncolored. Default oracle normalization strips ANSI, so this is unit-covered.
do_tiger_punch	tiger	tiger.no-argument	D2	command	oracle-green-multiseed	tiger-depth@1,2,3,5,8	act.offensive.c:709-719	A bare tiger punch with no FIGHTING opponent, and a named target that resolves to nobody, both emit C's exact "Hit who?".
do_tiger_punch	tiger	tiger.self	D2	command	oracle-green-multiseed	tiger-depth@1,2,3,5,8	act.offensive.c:711-714	The named self target emits C's exact "Aren't we funny today..." and returns before the roll and WAIT_STATE.
