handler	command	case_id	depth	scope	status	proof	c_site	notes
do_set	set	set.entry-gate	D1	command	unit-green	TestSetRegistrationUsesCEntryGate	interpreter.c:682; comm.c:910-947	The registered command row is POS_DEAD at LVL_GOD; command dispatch owns the shared entry gate (R2/R5e).
do_set	set	set.field-table	D1	command	unit-green	TestSetFieldTableMatchesCOrderAndGates	act.wizard.c:2537-2596	The Go table preserves all 59 C rows, first-prefix order, levels, PC/NPC gates, and field types (R2/R5b/R5e).
do_set	set	set.no-argument	D1	command	oracle-green-multiseed	set-depth@1,2,3,5,8	act.wizard.c:2601-2605	Missing victim, field, or value framing reaches C's exact usage bytes (R1/R2/R5e).
do_set	set	set.missing-target	D1	command	oracle-green-multiseed	set-depth@1,2,3,5,8	act.wizard.c:2608-2620; handler.c:1276-1332	The ordinary target path emits There is no such creature. and the optional player path is covered separately (R1/R5e).
do_set	set	set.per-field-level-gate	D1	command	oracle-green-multiseed	set-gate-depth@1,2,3,5,8	act.wizard.c:2629-2633	A LVL_GOD actor may set gold but receives the C per-field rejection for GRGOD-only str (R1/R2/R5e).
do_set	set	set.field-prefix	D1	command	oracle-green-multiseed	set-depth@1,2,3,5,8;set-extended-depth@1,2,3,5,8	act.wizard.c:2622-2627	First table match wins for abbreviated field names, including br, st, and cla (R2/R5e).
do_set	set	set.optional-player-prefix	D2	command	oracle-green-multiseed	set-extended-depth@1,2,3,5,8	act.wizard.c:2548-2562	The player prefix selects exact global player lookup and keeps the normal PC field gates (R1/R2/R5e).
do_set	set	set.optional-mob-prefix	D2	command	oracle-green-multiseed	set-extended-depth@1,2,3,5,8	act.wizard.c:2548-2562	The mob prefix reaches get_char_vis and a registered visible NPC target; C's unused is_mob marker does not narrow the lookup (R1/R2/R5e).
do_set	set	set.unknown-field	D2	command	oracle-green-multiseed	set-depth@1,2,3,5,8	act.wizard.c:2622-2627; act.wizard.c:3058-3065	An unknown field falls through the sentinel row and emits only Can't set that! (R1/R4/R5e).
do_set	set	set.binary-field	D2	command	oracle-green-multiseed	set-depth@1,2,3,5,8	act.wizard.c:2639-2654; act.wizard.c:3025-3031	Binary rows accept only exact lower-case on/yes/off/no and use the generic CAP'd field acknowledgement, including nosummon's inverse report (R1/R2/R5e).
do_set	set	set.direct.invstart	D4	state	oracle-green-multiseed	set-direct-flags-depth@1,2,3,5,8	act.wizard.c:2543-2545; act.wizard.c:2724-2726	Live PC target exercises both transitions; transcript proves the actor acknowledgement and the paired state test proves only C PLR_INVSTART bit 14 changes (R1/R3/R5e).
do_set	set	set.direct.roomflag	D4	state	oracle-green-multiseed	set-direct-flags-depth@1,2,3,5,8	act.wizard.c:2579-2580; act.wizard.c:2913-2915	Live PC target exercises both transitions; transcript proves the actor acknowledgement and the paired state test proves only C PRF_ROOMFLAGS bit 21 changes (R1/R3/R5e).
