handler	command	case_id	depth	scope	status	proof	c_site	notes
do_clan	clan	clan.immortal-format	D1	command	oracle-green	clan-depth	interpreter.c:383; clan.c:63-121	Immortal no-argument format and command surface.
do_clan	clan	clan.immortal-info-list	D3	state	oracle-green	clan-depth	clan.c:723-750	Immortal list exposes the authored clan row and exact C page bytes.
do_clan	clan	clan.immortal-info-detail	D3	state	oracle-green	clan-depth	clan.c:752-785	Detail output follows C's actual overlapping-buffer bytes, including the null plan.
do_clan	clan	clan.immortal-status-gate	D1	command	oracle-green	clan-depth	clan.c:651-683	Immortals receive the cannot-join status refusal.
do_clan	clan	clan.immortal-apply-gate	D1	command	oracle-green	clan-depth	clan.c:685-720	Immortals cannot apply.
do_clan	clan	clan.create-missing-leader	D2	command	oracle-green	clan-depth	clan.c:156-236	Create refuses a leader absent from the character list.
do_clan	clan	clan.rename-entry-gates	D1	command	oracle-green	clan-depth	clan.c:127-153	Rename covers empty, nonnumeric, out-of-range, and missing-name gates.
do_clan	clan	clan.bank-immortal-path	D4	state	oracle-green	clan-depth	clan.c:880-985	Immortal amount-plus-clan parsing and treasury deposit/withdraw state match.
do_clan	clan	clan.set-money	D2	state	oracle-green	clan-depth	clan.c:988-1057	Application-fee and dues validation and updates match.
do_clan	clan	clan.set-applev	D2	state	oracle-green	clan-depth	clan.c:1272-1329	Application-level validation and update path match.
do_clan	clan	clan.set-ranks	D4	state	oracle-green	clan-depth	clan.c:1060-1162	Immortal clan/rank parsing and hierarchy update path match.
do_clan	clan	clan.set-title	D4	state	oracle-green	clan-depth	clan.c:1164-1220	Index/rank/title validation and exact Done path match.
do_clan	clan	clan.set-privilege	D2	state	oracle-green	clan-depth	clan.c:1442-1495	Privilege subcommand dispatch and C's failed-clan lookup/list behavior match.
do_clan	clan	clan.create-success	D4	state	oracle-green	clan-depth	clan.c:156-236	Live creation assigns the leader, defaults ranks/privileges, and emits C bytes.
do_clan	clan	clan.create-leader-gate	D1	command	oracle-green	clan-depth	clan.c:180-184	Missing leader remains the first reachable creation refusal.
do_clan	clan	clan.destroy-success	D4	state	oracle-green	clan-depth	clan.c:240-283	Positive destroy clears members, removes the clan, and preserves deletion bytes.
do_clan	clan	clan.admin-private	D3	state	oracle-green	clan-depth	clan.c:1222-1269	God privacy toggles use the named-clan path.
