handler	command	case_id	depth	scope	status	proof	c_site	notes
do_force	force	force.entry-gate	D1	command	unit-green	TestForceRegistrationUsesCEntryGate	interpreter.c:438; act.wizard.c:1856-1868	The command is available at LVL_GOD and POS_SLEEPING, matching the registered C gate and handler entry.
do_force	force	force.no-arguments	D1	command	oracle-green-multiseed	force-gates@1,2,3,5,8	act.wizard.c:1862-1867	An empty argument reaches the exact Whom do you wish to force do what? response.
do_force	force	force.no-command	D1	command	oracle-green-multiseed	force-gates@1,2,3,5,8	act.wizard.c:1862-1867	A target without a command takes the same half_chop usage branch.
do_force	force	force.missing-target	D1	command	oracle-green-multiseed	force-gates@1,2,3,5,8	act.wizard.c:1868-1870; config.c:93	An unresolved target emits C's NOPERSON bytes.
do_force	force	force.equal-level-target	D2	command	oracle-green-multiseed	force-gates@1,2,3,5,8	act.wizard.c:1871-1872	A target at the caster's level is rejected with No, no, no!.
do_force	force	force.self-alias	D2	command	oracle-green-multiseed	force-gates@1,2,3,5,8	handler.c:1283-1285; act.wizard.c:1869-1872	C get_char_room_vis resolves self before the level comparison, producing the equal-level rejection.
do_force	force	force.me-alias	D2	command	oracle-green-multiseed	force-gates@1,2,3,5,8	handler.c:1283-1285; act.wizard.c:1869-1872	The me alias follows the same self-target path.
do_force	force	force.single-target-order	D3	command	oracle-green-multiseed	force-depth@1,2,3,5,8	act.wizard.c:1873-1880	C acknowledges before command_interpreter(vict,to_force); the room observer exposes the ordering.
do_force	force	force.player-only-ordinal	D2	command	oracle-green-multiseed	force-depth@1,2,3,5,8	handler.c:1278-1300	The 0.<name> player-only target form resolves the connected PC and executes the harmless command.
do_force	force	force.player-name-abbreviation	D2	command	oracle-green-multiseed	force-depth@1,2,3,5,8	handler.c:1278-1300	An in-room abbreviated player name follows get_char_room_vis matching.
do_force	force	force.god-caster	D2	audience	oracle-green-multiseed	force-low-god@1,2,3,5,8	interpreter.c:438; act.wizard.c:1873-1876	A LVL_GOD caster may force a lower-level connected player; only room/all require LVL_GRGOD.
do_force	force	force.victim-notification	D3	audience	oracle-green-multiseed	force-low-god@1,2,3,5,8	act.wizard.c:1873-1876	A below-implementor caster sends the exact $n has forced you message to the victim before execution.
do_force	force	force.room-filter	D3	audience	oracle-green-multiseed	force-room-all@1,2,3,5,8	act.wizard.c:1882-1893	The room branch reaches only lower-level characters in the caster's room; a remote mortal is omitted.
do_force	force	force.all-filter	D3	audience	oracle-green-multiseed	force-room-all@1,2,3,5,8	act.wizard.c:1894-1906	The all branch reaches connected lower-level characters in other rooms and skips equal/higher levels.
do_force	force	force.room-all-notification	D3	audience	oracle-green-multiseed	force-room-all@1,2,3,5,8	act.wizard.c:1882-1906	Room/all unconditionally call act to each eligible victim, including when the caster is an implementor.
do_force	force	force.below-grgod-special-keywords	D1	command	unit-green	TestCmdForceBelowGreaterGodTreatsAllAsCharacterName	act.wizard.c:1868-1882	At LVL_GOD, room/all are ordinary target names; they do not enter the population loops.
do_force	force	force.visible-npc-target	D3	command	blocked	force-mob@1	handler.c:1303-1325; act.wizard.c:1869-1880	Two safe probes (trainee sit and stand) confirm C resolves visible NPCs and invokes its generic command_interpreter; Go has no generic mob command/session executor. Keep blocked until that shared architecture exists; a sit-only adapter would violate R4.
do_force	force	force.npc-command-interpreter	D5	automatic-call	blocked	force-mob@1	interpreter.c:883-980; act.wizard.c:1869-1880	The second safe NPC probe confirms the unresolved generic handoff, not a missing player message. Do not claim the NPC target class proven by the player-only force path.
