handler	command	case_id	depth	scope	status	proof	c_site	notes
perform_move	north/east/south/west/up/down	movement.no-exit	D1	command	oracle-green	movement-directions	act.movement.c:319-320	All six directional entry points prove the shared missing-exit bytes.
perform_move	north/east/south/west/up/down	movement.closed-keyword	D2	command	oracle-green	movement-closed-keyword	act.movement.c:321-332	Named closed exit uses fname keyword bytes.
perform_move	north/east/south/west/up/down	movement.closed-secret-hidden	D2	command	oracle-green	movement-closed-secret	act.movement.c:323-326	Unmarked secret exit is indistinguishable from no exit.
perform_move	north/east/south/west/up/down	movement.closed-unnamed	D2	command	oracle-green	movement-closed-unnamed	act.movement.c:333-334	Unnamed closed exit has its distinct message.
do_simple_move	north/east/south/west/up/down	movement.charm-master-room-gate	D1	state	unit-green	TestMovementFailureMessagesAndMountGate	act.movement.c:115-120	Charmed follower sharing its master's room cannot leave.
do_simple_move	north/east/south/west/up/down	movement.boat-required	D2	command	oracle-green	movement-water-boat	act.movement.c:122-129	No-swim destination rejects actor without a boat.
do_simple_move	north/east/south/west/up/down	movement.boat-success	D2	command	oracle-green	movement-water-boat	act.movement.c:122-129	Inventory boat unlocks the identical exit.
do_simple_move	north/east/south/west/up/down	movement.water-movement-cost	D4	state	unit-green	TestDoMoveMovementCostAndImmortalExemption	act.movement.c:131-133	Canonical DoMove deducts truncated average of source and destination sector costs.
do_simple_move	north/east/south/west/up/down	movement.exhausted-actor	D2	state	unit-green	TestPerformMove_Exhausted	act.movement.c:166-173	Mortal lacking movement remains in origin.
do_simple_move	north/east/south/west/up/down	movement.exhausted-follower-wording	D2	state	unit-green	TestMovementFailureMessagesAndMountGate	act.movement.c:168-171	Recursive follower gets the distinct exhausted-to-follow bytes.
do_simple_move	north/east/south/west/up/down	movement.immortal-cost-exemption	D4	state	unit-green	TestDoMoveMovementCostAndImmortalExemption	act.movement.c:212-213	Immortal with zero movement still moves and pays nothing.
do_simple_move	north/east/south/west/up/down	movement.tunnel-full	D2	command	oracle-green	movement-tunnel	act.movement.c:176-180	Occupied tunnel rejects entry.
do_simple_move	north/east/south/west/up/down	movement.success-actor	D2	command	oracle-green	movement	act.movement.c:230-278	Actor receives immediate destination room observation.
do_simple_move	north/east/south/west/up/down	movement.success-origin-audience	D3	command	oracle-green	movement	act.movement.c:216-219	Origin peer receives direction-specific leave bytes.
do_simple_move	north/east/south/west/up/down	movement.success-destination-audience	D3	command	oracle-green	movement	act.movement.c:230-278	Destination peer receives reverse-direction arrival bytes.
do_simple_move	up/down	movement.vertical-audiences	D3	command	oracle-green	movement-vertical	act.movement.c:255-277	Up and down use climbs-from-below/above destination bytes.
do_simple_move	north/east/south/west/up/down	movement.sneak-suppresses-audiences	D3	state	unit-green	TestPerformMove_Sneak	act.movement.c:216-219,230-278	Sneak suppresses leave and arrival broadcasts.
do_simple_move	north/east/south/west/up/down	movement.destination-look-order	D5	ordering	unit-green	TestPerformMoveRendersLeaderBeforeFollowerRecursion	act.movement.c:280-283	Each connected mover renders before triggers and follower recursion.
perform_move	north/east/south/west/up/down	movement.follower-follow	D3	command	oracle-green	movement-followers	act.movement.c:343-349	Standing same-room follower receives follow bytes and moves recursively.
perform_move	north/east/south/west/up/down	movement.follower-audiences	D3	command	oracle-green	movement-followers	act.movement.c:337-350	Leader observation precedes follower arrival; follower observation contains final room topology.
perform_move	north/east/south/west/up/down	movement.follower-position-gate	D4	state	unit-green	TestPerformMoveFollowerPositionAndHide	act.movement.c:342-344	Resting and sleeping followers remain behind.
