handler	command	case_id	depth	scope	status	proof	c_site	notes
do_mindlink	mindlink	mindlink.no-arg	D1	command	oracle-green-multiseed	mindlink-entry-depth@1,2,3,5,8	interpreter.c:549; new_cmds2.c:254-263	The empty argument returns C's direct prompt before target lookup (R1/R2/R5e).
do_mindlink	mindlink	mindlink.target-missing	D1	command	oracle-green-multiseed	mindlink-entry-depth@1,2,3,5,8	new_cmds2.c:261-263	A missing visible target returns C's exact room-lookup failure bytes (R1/R5e).
do_mindlink	mindlink	mindlink.self	D1	command	oracle-green-multiseed	mindlink-entry-depth@1,2,3,5,8	new_cmds2.c:263-268	Self-targeting returns C's self gate before the skill check (R1/R2/R5e).
do_mindlink	mindlink	mindlink.skill-missing	D1	command	oracle-green-multiseed	mindlink-entry-depth@1,2,3,5,8	new_cmds2.c:268-270	An untrained actor receives C's no-skill response on a valid NPC target (R1/R5e).
do_mindlink	mindlink	mindlink.low-mana-target	D2	command	oracle-green-multiseed	mindlink-low-mana-depth@1,2,3,5,8	new_cmds2.c:286-289; db.c:1069-1072,1757	Ordinary loaded mobs begin at 10 mana, so the target resource gate returns before any RNG, drain, or audience act (R1/R3/R5e).
do_mindlink	mindlink	mindlink.player-target	D3	command	oracle-green-multiseed	mindlink-player-depth@1,2,3,5,8	new_cmds2.c:274-283	The non-NPC branch matches actor bytes, includes the target in TO_ROOM, and preserves the room audience (R1/R5e).
do_mindlink	mindlink	mindlink.one-argument	D1	command	oracle-green-multiseed	mindlink-player-depth@1,2,3,5,8	new_cmds2.c:260; interpreter.c:549	The Go command now preserves C one_argument parsing, so trailing tokens do not change the selected player target (R1/R2/R5e).
do_mindlink	mindlink	mindlink.actor-fighting	D2	command	unit-green	TestDoMindlinkDepthGates	new_cmds2.c:280-283	Focused gate test proves actor FIGHTING returns before health, mana, RNG, or drain (R1/R5e).
do_mindlink	mindlink	mindlink.target-fighting	D2	command	unit-green	TestDoMindlinkDepthGates	new_cmds2.c:280-283	Focused gate test proves target FIGHTING shares C's busy response and ordering (R1/R5e).
do_mindlink	mindlink	mindlink.actor-low-health	D2	command	unit-green	TestDoMindlinkDepthGates	new_cmds2.c:284-286	Focused gate test proves health below 100 returns before the target mana gate and RNG (R1/R5e).
do_mindlink	mindlink	mindlink.npc-failure-outcome	D2	command	unit-green	TestFidelityMindlinkMobFailureContract	new_cmds2.c:291-325	With a focused high-mana mob, the valid NPC path reaches C's unconditional failure outcome because both class macros exclude NPCs (R1/R4/R5e).
do_mindlink	mindlink	mindlink.npc-failure-state	D4	command	unit-green	TestSendSkillResultMindlinkFailureOrder	new_cmds2.c:309-325	The post-roll branch drains exactly 100 HP, emits the room act and final actor line, and leaves the actor stunned (R1/R3/R5e).
do_mindlink	mindlink	mindlink.npc-failure-rng	D5	command	unit-green	TestFidelityMindlinkMobFailureContract	new_cmds2.c:291-295	Focused replay pins the C number(1,101) draw before the NPC failure arm (R3/R5e).
do_mindlink	mindlink	mindlink.success-psionic-mob-unreachable	D2	command	excluded	-	new_cmds2.c:274-291; utils.h:366,418	The apparent success arm cannot be reached from this surface: the prior non-NPC return excludes players, while IS_PSIONIC and IS_MYSTIC both require !IS_NPC; no substitute target class is invented (R4/R5e).
