handler	command	case_id	depth	scope	status	proof	c_site	notes
do_order	order	order.entry-gate	D1	command	unit-green	TestOrderRegistrationUsesCEntryGate	interpreter.c:586; act.offensive.c:294-307	The C row requires level 1 at POS_RESTING; the focused test pins the live registry gate (R1/R2/R5e).
do_order	order	order.no-argument	D1	command	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:303-306	A missing target or command reaches half_chop's exact Order who to do what? response (R1/R3/R5e).
do_order	order	order.target-not-found	D1	command	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:307-309	An unresolved visible-room target emits exactly That person isn't here. before actor or follower state is inspected (R1/R3/R5e).
do_order	order	order.self-target	D2	command	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:310-311	Self resolution is rejected with C's misspelled schizophrenia response (R1/R3/R5e).
do_order	order	order.actor-charmed-gate	D1	command	unit-green	TestOrderRejectsCharmedActorWithCMessage	act.offensive.c:313-320	A charmed actor is refused after target resolution and before any order audience or follower dispatch (R1/R5e).
do_order	order	order.visible-npc	D3	audience	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:321-328; comm.c:2392-2555	A visible NPC reaches the order and indifferent-look room audiences exactly; the uncharmed relation prevents command execution (R1/R3/R5e).
do_order	order	order.noncharmed-player	D3	audience	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:321-328; comm.c:2392-2555	A visible player who is not both the actor's master-linked follower and charmed receives the order text plus room announcement and indifferent look (R1/R3/R5e).
do_order	order	order.followers-no-charmed-subject	D3	audience	oracle-green-multiseed	order-depth@1,2,3,5,8	act.offensive.c:335-354; comm.c:2392-2555	The followers pseudo-target announces to the room, filters same-room charmed followers, and emits Nobody here is a loyal subject of yours! when none qualifies (R1/R3/R5e).
do_order	order	order.half-chop-fill-word-is-target	D2	command	oracle-green-multiseed	order-depth@1,2,3,5,8	interpreter.c:1265-1283; act.offensive.c:303-309	C half_chop does not apply one_argument fill-word skipping: the literal first token the is the target and trailing words are order text (R1/R2/R3/R5e).
do_order	order	order.charmed-player-success	D4	state	oracle-green-multiseed	order-charmed-depth@1,2,3,5,8	act.offensive.c:321-333; act.comm.c:1146-1305	A deterministic successful charm seed reaches the master-and-AFF_CHARM branch, emits OK, and re-enters the follower command interpreter; seed 1 also proves the saving-throw fallback remains indifferent (R1/R3/R5e).
do_order	order	order.followers-charmed-subject	D4	state	unit-green	TestOrderCharmedPlayerExecutesExactCommandPath	act.offensive.c:335-352	The followers arm dispatches a same-room charmed player, acknowledges only after dispatch, and preserves the room announcement (R1/R3/R5e).
