handler	command	case_id	depth	scope	status	proof	c_site	notes
do_point	point	point.entry-gate	D1	command	unit-green	TestPointRegistrationUsesCEntryGate	interpreter.c:609; comm.c:910-947	The registered C row is POS_RESTING with no command minimum level; the focused test pins the command gate before do_point (R1/R2/R5e).
do_point	point	point.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:609; comm.c:910-947	The shared POS_RESTING command rejection is already proven by the position-gate vehicle (R5b/R5c).
do_point	point	point.no-argument	D2	command	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2510-2535	Empty input falls through character/object/direction lookup to the exact around-the-room actor and room lines (R1/R3/R5e).
do_point	point	point.direction	D2	command	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2487-2503	The six-direction abbreviation helper emits the canonical full direction in both actor and room messages (R1/R2/R3/R5e).
do_point	point	point.character-no-weapon	D3	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2537-2558; comm.c:2392-2555	A visible player target without a wielded weapon reaches the actor, victim, and non-victim room audiences with C's point wording (R1/R3/R5e).
do_point	point	point.character-wielded-weapon	D3	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2546-2552; new_cmds.c:2471-2485	A wielded weapon is rendered through $p in the actor, victim, and non-victim room branches (R1/R3/R5e).
do_point	point	point.mob-target	D3	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2512-2514; handler.c:1276-1300	The generic mob is resolved by its visible keyword namelist and follows C's character-target branch (R1/R2/R3/R5e).
do_point	point	point.self-target	D2	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2537-2541; comm.c:2392-2555	The named self target emits the exact self actor and room lines (R1/R3/R5e).
do_point	point	point.self-alias	D2	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	handler.c:1276-1285; new_cmds.c:2537-2541	The C self alias resolves the actor and follows the same self-target branch (R1/R2/R3/R5e).
do_point	point	point.object-no-weapon	D3	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2516-2520,2471-2485; handler.c:1287-1300	A visible room object is selected after character lookup and emits the no-wield point_obj branch (R1/R3/R5e).
do_point	point	point.object-wielded-weapon	D3	audience	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2471-2485,2516-2520	The same room object with a wielded weapon exercises $p/$P rendering and the second point_obj branch (R1/R3/R5e).
do_point	point	point.target-not-found	D2	command	oracle-green-multiseed	point-depth@1,2,3,5,8	new_cmds.c:2512-2535	An unresolved argument emits the exact around-the-room fallback rather than an error (R1/R3/R5e).
do_point	point	point.one-argument	D2	command	oracle-green-multiseed	point-depth@1,2,3,5,8	interpreter.c:1265-1283; new_cmds.c:2510-2514	Leading fill words are skipped and trailing input is ignored by C one_argument (R1/R2/R3/R5e).
do_point	point	point.visibility	D3	shared	delegated	socials-depth	handler.c:1276-1300; comm.c:2392-2555	The visible character/object lookup and recipient-specific Act behavior use shared target and audience machinery (R5b/R5c).
