handler	command	case_id	depth	scope	status	proof	c_site	notes
mp_give	mp_give	mp_give.dog-food	D5	npc-call	oracle-green-multiseed	mp-give-dog-food	mobprog.c:112-122	Dog vnum 8063 + ITEM_FOOD: devour act to room, object extracted.
mp_give	mp_give	mp_give.dog-food-state	D4	npc-call	unit-green	TestMpGiveObjectDogFoodExtracts	mobprog.c:121-122	Food branch destroys the object (C extract_obj), not a room drop.
mp_give	mp_give	mp_give.dog-junk	D5	npc-call	oracle-green-multiseed	mp-give-dog-junk	mobprog.c:123-129	Dog + non-food: plays act, loses interest, object dropped in the mob's room and survives. Scenario seeds the floor with a second object so the C obj_to_room prepend order is observable in look (red when the drop appended, green with MoveObjectToRoomFront).
mp_give	mp_give	mp_give.dog-junk-state	D4	npc-call	unit-green	TestMpGiveObjectDogJunkDropsInRoom	mobprog.c:126-127	Junk branch is C obj_to_room, not extract.
mp_give	mp_give	mp_give.demon-nonsoul	D5	npc-call	oracle-green-multiseed	mp-give-demon-nonsoul	mobprog.c:131-141	Soul eater 14401 + non-soul: peer-then-hand-back act, growl act, object returned to giver's inventory. Scenario holds a second item so the C obj_to_char prepend order is observable in inventory (Inventory.addItem already prepends, matching C).
mp_give	mp_give	mp_give.demon-nonsoul-mob-giver	D4	npc-call	unit-green	TestMpGiveObjectDemonNonSoulReturnsToMobGiver	mobprog.c:139-140	C obj_to_char(obj, ch) returns the non-soul to a mobile giver as well (scripted action path).
mp_give	mp_give	mp_give.demon-soul	D5	npc-call	oracle-green-multiseed	mp-give-demon-soul	mobprog.c:142-160	Soul quest: peers/licks, says, swallow act with embedded CRLF, soul extracted, portal act, exclaim (C do_say on a '!' string), portal 19611 visible in look. Scenario seeds the floor so the portal's C obj_to_room prepend order is observable in look.
mp_give	mp_give	mp_give.demon-soul-portal-state	D4	npc-call	unit-green	TestMpGiveObjectDemonSoulSpawnsPortal	mobprog.c:157-158	GET_OBJ_VAL(portal, 2) = 2 is silent in telnet output; proven at state level. Portal loads in the giver's room (ch->in_room).
mp_give	mp_give	mp_give.janitor-junk	D5	npc-call	oracle-green-multiseed	mp-give-janitor	mobprog.c:162-169	Bread (takeable, cost 3): "Thanks for helping clean this place up..."; the janitor keeps nothing and nothing moves.
mp_give	mp_give	mp_give.janitor-nonjunk	D5	npc-call	oracle-green-multiseed	mp-give-janitor	mobprog.c:162-169	Short sword (takeable, cost 30): "Wow, this is pretty neat, thanks."
mp_give	mp_give	mp_give.junk-predicate	D2	npc-call	unit-green	TestMpGiveObjectJanitorJunkPredicate	mobprog.c:462-470	is_junk: ITEM_WEAR_TAKE set && (ITEM_DRINKCON || cost <= 10).
mp_give	mp_give	mp_give.mob-giver-dispatch	D5	npc-call	unit-green	TestNpcPerformGiveRunsMpGive	act.item.c:700-701	npcPerformGive (the perform_give port behind scripted action(me, "give ..."), scripts.c:122-140 -> command_interpreter) runs mp_give for NPC victims. No live script gives mob-to-mob (only archived golem_miner.lua), so the byte-level proof is the shared MpGiveObject oracle rows above.
