handler	command	case_id	depth	scope	status	proof	c_site	notes
do_kick	kick	kick.entry-gate	D1	command	unit-green	TestKickRegistrationUsesCEntryGate	interpreter.c:528; act.offensive.c:587-590	The registered C row requires level 1 and POS_FIGHTING; the focused session test pins both the authoritative gate and Go registration (R2/R5e).
do_kick	kick	kick.position-gate	D1	command	unit-green	TestPositionFailMessageMatchesC	interpreter.c:528; comm.c:910-947	The shared command dispatcher rejects callers below POS_FIGHTING with C's position bytes (R1/R2/R5b/R5c).
do_kick	kick	kick.no-skill	D1	command	unit-green	TestDoKick_SkillKnownGateUnchanged	act.offensive.c:592-596	GET_SKILL==0 returns the exact martial-arts refusal before argument parsing or target lookup (R1/R5e).
do_kick	kick	kick.no-argument	D1	command	unit-green	TestCmdKickTargetGates	act.offensive.c:600-608	An awake caller with no argument and no FIGHTING target receives Kick who?; the table test also pins the target-missing branch (R1/R5e).
do_kick	kick	kick.target-not-found	D1	command	unit-green	TestCmdKickTargetGates	act.offensive.c:600-608	A named target that is not visible in the room receives Kick who? with no combat side effects (R1/R5e).
do_kick	kick	kick.no-argument-fighting-fallback	D1	command	oracle-green-multiseed	combat-kick-opener@1,2,3,5,8	act.offensive.c:600-608	An empty argument uses the stored current fighting target after the padded opener sequence; the vehicle proves C's direct FIGHTING pointer fallback across the seed matrix (R1/R3/R5e).
do_kick	kick	kick.target-trailing-arguments	D1	command	oracle-green-multiseed	combat-kick-opener@1,2,3,5,8	interpreter.c:1265-1279; act.offensive.c:600-608	C one_argument keeps the first target token and ignores trailing words; the live vehicle exercises kick trainee trailing words (R1/R5e).
do_kick	kick	kick.self-target	D2	command	unit-green	TestDoKick_BlocksSelfTarget	act.offensive.c:610-614	The resolved self target emits Aren't we funny today... before the roll (R1/R5e).
do_kick	kick	kick.mounted	D2	command	unit-green	TestDoKick_BlocksMounted	act.offensive.c:615-619	Mounted callers receive Dismount first! before the roll or wait state (R1/R5e).
do_kick	kick	kick.miss-opener	D3	audience	oracle-green-multiseed	combat-kick-opener@1,2,3,5,8	act.offensive.c:622-624; fight.c:1023-1092	The miss arm routes zero damage through the Kick skill-message set and emits the C attacker bytes without invented literals (R1/R3/R5e).
do_kick	kick	kick.combat-followup	D5	state	oracle-green-multiseed	combat-kick-opener@1,2,3,5,8	act.offensive.c:622-633; fight.c:1400-1460	The opener's miss enrolls combat and the padded violence pulses match the C retaliation and attacker combat transcript (R3/R5e).
do_kick	kick	kick.success-contract	D4	state	unit-green	TestDoKick_Hit_ReroutesThroughSkillMessage	act.offensive.c:625-631; fight.c:1023-1092	The hit arm carries the C Kick message set, level>>1 damage, success flag, combat enrollment signal, and no invented literal strings (R1/R3/R5e).
do_kick	kick	kick.miss-contract	D4	state	unit-green	TestDoKick_Miss_ReroutesThroughSkillMessage	act.offensive.c:622-624; fight.c:1023-1092	The miss arm carries zero damage, the C Kick message set, combat enrollment, the unconditional wait, and no invented literal strings (R1/R3/R5e).
do_kick	kick	kick.message-source	D3	audience	unit-green	TestDoKick_MissMessageFromSkillMessages	fight.c:1023-1092; lib/misc/messages:252-285	The miss attacker bytes come from the embedded set-134 message corpus rather than a Go-invented kick sentence (R1/R4/R5e).
do_kick	kick	kick.draw-order	D5	state	unit-green	TestSendSkillResult_KickSuccess_DrawOrderMatchesC	act.offensive.c:622-633; fight.c:1023-1092	The shared stream preserves the C order: kick percent, skill-message dice, improvement draws, then the next value; level-1 success also proves zero-damage enrollment (R3/R5e).
do_kick	kick	kick.miss-draw-order	D5	state	unit-green	TestDoKick_MissDrawCountAndOrder	act.offensive.c:622-624; fight.c:1023-1092	A miss consumes the percent number before the set-134 skill-message dice, preserving R3 draw parity (R3/R5e).
do_kick	kick	kick.wait	D4	state	unit-green	TestDoKick_WaitStateAlwaysThree	act.offensive.c:633	WAIT_STATE(ch, PULSE_VIOLENCE+2) applies after either hit or miss and is represented as WaitCh=3 (R3/R5e).
