handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	bitch	bitch.entry-gate	D1	command	unit-green	TestBitchRegistrationUsesCEntryGate	interpreter.c:355; act.social.c:102-112; lib/misc/socials:1178-1187	The registered row is POS_RESTING; the social record has hide=0, a POS_STANDING victim-position minimum, and all eight message slots (R1/R2/R5e).
do_action	bitch	bitch.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:355; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing position-gate vehicle (R2/R5b/R5c).
do_action	bitch	bitch.no-argument	D2	audience	oracle-green-multiseed	bitch-depth@1,2,3,5,8	act.social.c:102-127; lib/misc/socials:1178-1187	No argument emits the exact actor and ordinary room bitch messages (R1/R3/R5e).
do_action	bitch	bitch.target-success	D3	audience	oracle-green-multiseed	bitch-depth@1,2,3,5,8	act.social.c:141-151; lib/misc/socials:1178-1187	A visible standing target receives the exact actor and victim bitch templates with C substitutions (R1/R3/R5e).
do_action	bitch	bitch.target-audience	D3	audience	oracle-green-multiseed	bitch-depth@1,2,3,5,8	act.social.c:141-151; comm.c:2392-2555; lib/misc/socials:1178-1187	The distinct observer receives the exact TO_NOTVICT room audience while actor and target receive their own records (R1/R3/R5e).
do_action	bitch	bitch.one-argument	D2	command	oracle-green-multiseed	bitch-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121	one_argument skips the leading fill word and ignores trailing input before target lookup (R1/R2/R3/R5e).
do_action	bitch	bitch.self-target	D2	audience	oracle-green-multiseed	bitch-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1178-1187	The authored self-target branch emits the exact char_auto and others_auto lines (R1/R3/R5e).
do_action	bitch	bitch.target-not-found	D1	command	oracle-green-multiseed	bitch-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1178-1187	An unresolved visible-room target emits only the exact bitch-specific refusal (R1/R3/R5e).
do_action	bitch	bitch.sleeping-target	D1	audience	oracle-green-multiseed	bitch-sleeping-depth@1,2,3,5,8	act.social.c:140-143; lib/misc/socials:1178-1187	A sleeping target fails the authored POS_STANDING victim-position gate and emits only the canonical actor failure line (R1/R3/R5e).
do_action	bitch	bitch.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the existing social boundary (R1/R5b/R5c).
do_action	bitch	bitch.visibility	D3	shared	delegated	socials-depth	act.social.c:102-151; comm.c:2392-2555	Visible-room lookup and Act audience visibility are owned by the shared social matrix (R1/R5b/R5c).
