handler	command	case_id	depth	scope	status	proof	c_site	notes
do_infobar	infobar	infobar.entry-gate	D1	command	unit-green	TestInfobarRegistrationUsesCEntryGate	interpreter.c:517; act.display.c:112-155	The C row permits every level at POS_DEAD; the focused test pins both the authoritative gate and the registered Go entry (R2/R5e).
do_infobar	infobar	infobar.off-status	D2	command	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:112-155	No argument on the default OFF state emits the exact status line across the deterministic seed matrix (R1/R3/R5e).
do_infobar	infobar	infobar.on-frame	D3	audience	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:158-216; vt100.h:33-47	The default zero screen size becomes 25, then InfoBarOn emits the immortal actor's exact VT100 frame, field positions, colors, value order, and raw boundary bytes (R1/R3/R5e).
do_infobar	infobar	infobar.already-on	D2	command	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:140-146	A second on request takes the already-on branch and emits only its exact status line (R1/R3/R5e).
do_infobar	infobar	infobar.argument-first-token	D1	command	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:116-155	any_one_arg consumes only the first token; an invalid first token with trailing words reaches the exact usage branch without inventing a state change (R1/R2/R5e).
do_infobar	infobar	infobar.on-status	D2	command	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:116-155	A no-argument query after enabling reports the exact ON status (R1/R3/R5e).
do_infobar	infobar	infobar.off-frame	D3	audience	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:128-139,218-224	The off transition restores the full-screen margin and emits C's exact home-and-clear VT100 bytes before the status text (R1/R5e).
do_infobar	infobar	infobar.already-off	D2	command	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:128-139	A second off request takes the already-off branch and emits only its exact status line (R1/R3/R5e).
do_infobar	infobar	infobar.mortal-frame	D3	audience	oracle-green-multiseed	infobar-depth@1,2,3,5,8	act.display.c:158-216; class.c:1089-1187	An ordinary peer reaches InfoBarOn and proves the mortal-only level and needed-experience labels/value fields, including C's current-level exp threshold (R1/R3/R5e).
do_infobar	infobar	infobar.unknown-state-reset	D4	state	unit-green	TestInfobarUnknownStateResetsToOff	act.display.c:116-132	The default branch emits both C reset lines and changes the typed session state to OFF (R1/R4/R5e).
do_infobar	infobar	infobar.update-fields	D4	state	unit-green	TestInfobarUpdateUsesCLayoutAndBitOrder	act.display.c:226-285; comm.c:1158-1193; vt100.h:45-47	Focused proof covers prompt-cycle last-value tracking, all five changed fields, C INFO bit values, C render order (mana/move/hit/exp/gold), and raw VT100 save/restore bytes (R1/R3/R4/R5e).
