# Generated by cmd/dp-command-gates; do not edit by hand.
# Regenerate: go run ./cmd/dp-command-gates -oracle /path/to/darkpawns-c-oracle/src/interpreter.c
# name<TAB>minimum level<TAB>minimum position<TAB>source/rationale
'	0	5	C interpreter.c:671
.	0	4	C interpreter.c:648
:	1	5	C interpreter.c:430
;	0	0	C interpreter.c:831
?	0	0	C interpreter.c:488
abilities	0	4	C interpreter.c:322
abils	0	4	Go alias for abilities
accuse	0	6	C interpreter.c:330
admobs	39	0	C interpreter.c:325
advance	38	0	C interpreter.c:324
affects	0	4	Go-only: read-only affect view; mortal-usable while sleeping
afk	0	0	C interpreter.c:326
agree	0	5	C interpreter.c:331
aid	0	8	C interpreter.c:327
alias	0	0	C interpreter.c:328
alter	0	7	C interpreter.c:329
ambush	0	8	C interpreter.c:332
anguish	0	5	C interpreter.c:335
apologize	0	5	C interpreter.c:333
applaud	0	5	C interpreter.c:334
appraise	0	5	C interpreter.c:336
ask	0	5	C interpreter.c:338
assist	1	7	C interpreter.c:337
at	38	0	C interpreter.c:323
attack	0	7	Go alias for hit
auction	0	4	C interpreter.c:339
auto	0	0	C interpreter.c:340
autoexit	0	0	Go-only: player display preference; safe in every position
autoloot	0	0	Go-only: player loot preference; safe in every position
backstab	1	8	C interpreter.c:343
bah	0	5	C interpreter.c:344
balance	1	8	C interpreter.c:346
ban	38	0	C interpreter.c:345
bash	1	7	C interpreter.c:347
bearhug	1	7	C interpreter.c:348
beckon	0	5	C interpreter.c:349
beg	0	5	C interpreter.c:351
behead	0	8	C interpreter.c:350
bellow	0	5	C interpreter.c:352
berserk	1	7	C interpreter.c:353
bird	0	5	C interpreter.c:354
bitch	0	5	C interpreter.c:355
bite	0	5	C interpreter.c:356
blame	0	5	C interpreter.c:357
bleed	0	5	C interpreter.c:358
bless	0	5	C interpreter.c:359
blink	0	5	C interpreter.c:360
blush	0	5	C interpreter.c:361
boggle	0	5	C interpreter.c:364
boink	0	5	C interpreter.c:363
bonk	0	5	C interpreter.c:362
bounce	0	8	C interpreter.c:342
bow	0	8	C interpreter.c:365
brb	0	5	C interpreter.c:367
brief	0	0	C interpreter.c:366
bs	1	8	Go alias for backstab
bug	0	0	C interpreter.c:370
burp	0	5	C interpreter.c:368
buy	0	8	C interpreter.c:369
cackle	0	5	C interpreter.c:372
carve	0	8	C interpreter.c:374
cast	1	6	C interpreter.c:373
charge	1	7	C interpreter.c:377
check	1	8	C interpreter.c:380
checkload	31	0	C interpreter.c:381
cheer	0	5	C interpreter.c:379
chide	0	5	C interpreter.c:376
chuckle	0	5	C interpreter.c:375
