handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	hush	hush.entry-gate	D1	command	unit-green	TestHushRegistrationUsesCEntryGate	interpreter.c:507; act.social.c:102-112; lib/misc/socials:1506-1514	The registered C row is POS_RESTING with no command minimum level; the social record has hide=0, no victim-position minimum, and all eight authored messages.
do_action	hush	hush.position-gate	D1	shared	delegated	fade.position-gate	interpreter.c:507; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing fade position-gate vehicle.
do_action	hush	hush.no-argument	D2	audience	oracle-green-multiseed	hush-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:1506-1514	No argument emits the exact actor and ordinary room lines across the deterministic seed matrix.
do_action	hush	hush.target-success	D3	audience	oracle-green-multiseed	hush-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:1506-1514	A visible standing target receives the exact actor and victim messages, and the distinct observer receives the TO_NOTVICT room line.
do_action	hush	hush.target-audience	D3	audience	oracle-green-multiseed	hush-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:1506-1514	The observer receives the room line while actor and victim are excluded by TO_NOTVICT; the victim receives the dedicated line.
do_action	hush	hush.argument-first-token	D2	command	oracle-green-multiseed	hush-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:1506-1514	C one_argument skips the leading fill word and ignores trailing words before visible target lookup.
do_action	hush	hush.self-target	D2	audience	oracle-green-multiseed	hush-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:1506-1514	A self target uses the authored actor and room self lines.
do_action	hush	hush.target-not-found	D1	command	oracle-green-multiseed	hush-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:1506-1514	A missing visible-room target receives the exact C refusal and no target audience act.
do_action	hush	hush.sleeping-target	D3	audience	oracle-green-multiseed	hush-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:1506-1514	The authored zero victim-position minimum admits a sleeping target; C sends the actor and room lines but no TO_VICT line to the sleeping target.
do_action	hush	hush.noshout	D1	shared	delegated	dance-noshout	act.social.c:102-118	The shared PLR_NOSHOUT emote refusal is owned by the dance social matrix.
do_action	hush	hush.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Target lookup and ordinary actor/room/victim visibility behavior are owned by the social matrix.
