handler	command	case_id	depth	scope	status	proof	c_site	notes
do_sharpen	sharpen	sharpen.entry-gate	D1	command	unit-green	TestSharpenRegistrationUsesCEntryGate	interpreter.c:692; comm.c:910-947	The registered C row is available at mortal level with POS_RESTING; the focused registry test pins the Go gate under R1/R2/R5e.
do_sharpen	sharpen	sharpen.no-argument	D1	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2743-2751	No argument reaches half_chop and the failed carried lookup emits exactly Sharpen what? under R1/R3/R5e.
do_sharpen	sharpen	sharpen.missing-object	D1	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2743-2751	A named object absent from carrying follows the same exact C message; no Go skill-zero early return remains under R1/R4/R5e.
do_sharpen	sharpen	sharpen.carried-only-lookup	D1	state	unit-green	TestDoSharpenUsesCObjectGatesAndCarriedOnly	new_cmds.c:2747	The C get_obj_in_list_vis scope is carrying only; the focused test proves an equipped-only slash weapon is invisible to sharpen under R1/R5e.
do_sharpen	sharpen	sharpen.half-chop	D1	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2748	Trailing words do not change the first-token object selection, preserving the C half_chop boundary under R1/R2/R5e.
do_sharpen	sharpen	sharpen.non-slash-gate	D1	command	unit-green	TestDoSharpenRejectsNonSlashAndAlreadyAffected	new_cmds.c:2752-2757	A weapon whose value[3] is not TYPE_SLASH-TYPE_HIT receives the exact non-sharpenable line under R1/R5e.
do_sharpen	sharpen	sharpen.non-weapon-gate	D1	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2752-2757	A carried non-weapon reaches the same C predicate and exact player-facing refusal under R1/R3/R5e.
do_sharpen	sharpen	sharpen.already-affected-gate	D1	state	unit-green	TestDoSharpenRejectsNonSlashAndAlreadyAffected	new_cmds.c:2758-2765	Any non-APPLY_NONE object affect blocks sharpening before fighting or RNG, as pinned by the focused state test under R1/R3/R5e.
do_sharpen	sharpen	sharpen.magic-gate	D1	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2758-2765	The authored ITEM_MAGIC slash weapon reaches the shared C any-further refusal under R1/R3/R5e.
do_sharpen	sharpen	sharpen.fighting-missing-object	D1	command	oracle-green-multiseed	sharpen-fighting-depth@1,2,3,5,8	new_cmds.c:2747-2771	FIGHTING(ch) is checked only after lookup; a missing carried object still says Sharpen what? under R1/R3/R5e.
do_sharpen	sharpen	sharpen.fighting-valid-object	D1	command	oracle-green-multiseed	sharpen-fighting-depth@1,2,3,5,8	new_cmds.c:2766-2771	A valid carried slash weapon reaches the exact busy message after the C fighting gate under R1/R3/R5e.
do_sharpen	sharpen	sharpen.success-actor	D2	command	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2773-2783	The successful strict-percent branch emits the exact direct actor line under R1/R3/R5e.
do_sharpen	sharpen	sharpen.success-room	D3	audience	oracle-green-multiseed	sharpen-depth@1,2,3,5,8	new_cmds.c:2773-2783; comm.c:2392-2555	The success act() reaches the room audience with C $n/$p substitution and no actor duplicate under R1/R3/R5e.
do_sharpen	sharpen	sharpen.success-affect-scaling	D4	state	unit-green	TestDoSharpenMutatesAndScalesSuccessfulWeapon	new_cmds.c:2775-2778	Success writes affect slot zero to APPLY_DAMROLL with 1 plus the level-26/30 terms, without mutating the prototype under R1/R3/R5e.
do_sharpen	sharpen	sharpen.failure-actor	D2	command	oracle-green-multiseed	sharpen-failure-depth@1,2,3,5,8	new_cmds.c:2784-2791	The failed strict-percent branch emits the exact direct damage line under R1/R3/R5e.
do_sharpen	sharpen	sharpen.failure-room	D3	audience	oracle-green-multiseed	sharpen-failure-depth@1,2,3,5,8	new_cmds.c:2784-2791; comm.c:2392-2555	Failure sends room act() before the actor line, with the exact substituted object description under R1/R3/R5e.
do_sharpen	sharpen	sharpen.failure-mutation-and-improve	D4	state	unit-green	TestDoSharpenFailureMutatesEvenWithZeroSkill	new_cmds.c:2773-2791; act.other.c:1704-1729	A valid object with skill zero still consumes number(1,101), writes damroll -1, and returns the C-ordered improvement contract under R1/R3/R5e.
do_sharpen	sharpen	sharpen.percent-draw-parity	D5	state	unit-green	TestDoSharpenConsumesOneCPercentDraw	new_cmds.c:2773-2778; random.c; utils.c	The focused stream test proves the inclusive 1..101 C draw consumes exactly one package-level draw under R3/R5e.
