handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	worship	worship.entry-gate	D1	command	unit-green	TestWorshipRegistrationUsesCEntryGateAndRecord	interpreter.c:836; act.social.c:102-112; lib/misc/socials:1014-1022	The registered C row is POS_RESTING with no command minimum; the target-capable record preserves C hide 0, minimum victim position 5, and all eight parsed slots (R1/R2/R5e).
do_action	worship	worship.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:836; comm.c:910-947	The shared POS_RESTING command rejection is owned by the existing social position-gate vehicle (R5b/R5c).
do_action	worship	worship.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT refusal runs before the target-capable social path and is owned by the social boundary (R5b/R5c).
do_action	worship	worship.no-argument	D2	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The authored no-target actor/room pair is exact across the deterministic seed matrix (R1/R3/R5e).
do_action	worship	worship.target-success	D3	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The visible player target receives the authored victim line and the non-victim observer receives the authored room line (R1/R3/R5e).
do_action	worship	worship.target-audience	D3	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	Actor, target, and observer audiences preserve the C substitutions and recipient topology, including objective and possessive pronouns (R1/R3/R5e).
do_action	worship	worship.argument-first-token	D2	command	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The C one_argument path consumes Worshiptarget and ignores trailing words for target lookup (R1/R2/R5e).
do_action	worship	worship.mob-target	D3	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	The generic mob target resolves through the same visible target path with exact actor, room, and victim bytes (R1/R3/R5e).
do_action	worship	worship.self-target	D2	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	Named self uses char_auto and emits the authored actor and room self-target lines (R1/R3/R5e).
do_action	worship	worship.target-not-found	D1	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	An unresolved target emits the authored not-found line and no room audience (R1/R2/R5e).
do_action	worship	worship.visibility	D3	shared	delegated	socials-depth	act.social.c:102-149; comm.c:2392-2555	Target lookup and Act hide/recipient visibility remain owned by the shared social vehicle (R5b/R5c).
do_action	worship	worship.sleeping-target	D2	audience	oracle-green-multiseed	worship-depth@1,2,3,5,8	act.social.c:102-151; comm.c:2392-2555; lib/misc/socials	A visible target below C minimum victim position 5 receives the exact proper-position rejection and no social audience (R1/R2/R3/R5e).
