handler	command	case_id	depth	scope	status	proof	c_site	notes
do_action	slap	slap.entry-gate	D1	command	unit-green	TestSlapRegistrationUsesCEntryGate	interpreter.c:707; act.social.c:102-112; lib/misc/socials:715-723	The registered C row is POS_RESTING with no command minimum; the focused test pins the exact slap metadata and all authored messages under R1/R2/R5e.
do_action	slap	slap.position-gate	D1	command	delegated	fade.position-gate	interpreter.c:707; comm.c:910-947	The shared POS_RESTING command-interpreter rejection is owned by the existing position-gate vehicle under R2/R5b/R5c.
do_action	slap	slap.noshout	D1	shared	delegated	dance-noshout	act.social.c:113-118	The shared PLR_NOSHOUT emote refusal runs before target parsing and is owned by the existing social boundary under R1/R5b/R5c.
do_action	slap	slap.no-argument	D2	audience	oracle-green-multiseed	slap-depth@1,2,3,5,8	act.social.c:119-127; lib/misc/socials:715-723	No argument emits the exact actor-only Normally you slap SOMEBODY. line; the authored others_no_arg sentinel emits no room bytes under R1/R3/R5e.
do_action	slap	slap.target-success	D3	audience	oracle-green-multiseed	slap-depth@1,2,3,5,8	act.social.c:145-151; lib/misc/socials:715-723	A visible target receives the exact actor and victim slap messages with the distinct observer receiving the TO_NOTVICT room line under R1/R3/R5e.
do_action	slap	slap.target-audience	D3	audience	oracle-green-multiseed	slap-depth@1,2,3,5,8	act.social.c:145-151; comm.c:2392-2555; lib/misc/socials:715-723	The actor, target, and observer transcripts pin the C audience split and substitutions under R1/R3/R5e.
do_action	slap	slap.argument-first-token	D2	command	oracle-green-multiseed	slap-depth@1,2,3,5,8	interpreter.c:1265-1283; act.social.c:114-121; lib/misc/socials:715-723	C one_argument skips the leading fill word and ignores trailing words before visible target lookup under R1/R2/R3/R5e.
do_action	slap	slap.self-target	D2	audience	oracle-green-multiseed	slap-depth@1,2,3,5,8	act.social.c:134-140; lib/misc/socials:715-723	The named self target emits the authored actor and room self-target messages, including the C objective-pronoun substitution under R1/R3/R5e.
do_action	slap	slap.target-not-found	D1	command	oracle-green-multiseed	slap-depth@1,2,3,5,8	act.social.c:128-132; lib/misc/socials:715-723	An unresolved room target emits only the exact slap-specific not-found refusal under R1/R3/R5e.
do_action	slap	slap.sleeping-target	D3	audience	oracle-green-multiseed	slap-sleeping-depth@1,2,3,5,8	act.social.c:140-151; comm.c:2392-2555; lib/misc/socials:715-723	The zero victim-position minimum admits a sleeping target; actor and observer bytes remain, while ordinary TO_VICT delivery is filtered for the sleeping peer under R1/R3/R5e.
do_action	slap	slap.visibility	D3	shared	delegated	socials-depth	act.social.c:114-151; comm.c:2392-2555	Visible-room target lookup and Act audience visibility are owned by the shared social matrix under R5b/R5c.
